OID_BLKGRP_20|GEOID_BLKGRP_20|NAMELSAD_BLKGRP_20|AREALAND_BLKGRP_20|AREAWATER_BLKGRP_20|MTFCC_BLKGRP_20|FUNCSTAT_BLKGRP_20|OID_BLKGRP_10|GEOID_BLKGRP_10|NAMELSAD_BLKGRP_10|AREALAND_BLKGRP_10|AREAWATER_BLKGRP_10|MTFCC_BLKGRP_10|FUNCSTAT_BLKGRP_10|AREALAND_PART|AREAWATER_PART
20890206483154|410019501001|Block Group 1|2205984568|13837275|G5030|S|20840206483154|410019501001|Block Group 1|2206000855|13837275|G5030|S|2205960848|13837275
20890206483154|410019501001|Block Group 1|2205984568|13837275|G5030|S|20840465411654|410239601002|Block Group 2|2389901623|1025653|G5030|S|6040|0
20890206483154|410019501001|Block Group 1|2205984568|13837275|G5030|S|20840465411740|410239601003|Block Group 3|2127547054|234152|G5030|S|17680|0
20890206483193|410019501002|Block Group 2|192662201|12317|G5030|S|20840206483193|410019501002|Block Group 2|192688454|12317|G5030|S|192658950|12317
20890206483193|410019501002|Block Group 2|192662201|12317|G5030|S|208403717192375|410619702003|Block Group 3|1557441275|3426431|G5030|S|3251|0
20890206483274|410019501003|Block Group 3|476751238|639439|G5030|S|20840206483193|410019501002|Block Group 2|192688454|12317|G5030|S|27901|0
20890206483274|410019501003|Block Group 3|476751238|639439|G5030|S|20840206483274|410019501003|Block Group 3|472372748|639439|G5030|S|472372748|639439
20890206483274|410019501003|Block Group 3|476751238|639439|G5030|S|20840206482669|410019503001|Block Group 1|22881076|0|G5030|S|4350589|0
20890206482537|410019502001|Block Group 1|14690166|0|G5030|S|20840206482537|410019502001|Block Group 1|14690166|0|G5030|S|14690166|0
208903716524393|410019502002|Block Group 2|1009492|0|G5030|S|208403716524393|410019502002|Block Group 2|1009492|0|G5030|S|1009492|0
20890206482584|410019502003|Block Group 3|4305021|0|G5030|S|20840206482584|410019502003|Block Group 3|4305021|0|G5030|S|4305021|0
20890206482669|410019503001|Block Group 1|18530487|0|G5030|S|20840206482669|410019503001|Block Group 1|22881076|0|G5030|S|18530487|0
20890206482629|410019503002|Block Group 2|928775767|705256|G5030|S|20840206482629|410019503002|Block Group 2|928774793|705256|G5030|S|928774793|705256
20890206482629|410019503002|Block Group 2|928775767|705256|G5030|S|20840206482711|410019504001|Block Group 1|4345162|178981|G5030|S|974|0
20890206483233|410019503003|Block Group 3|800202675|4526019|G5030|S|20840206483154|410019501001|Block Group 1|2206000855|13837275|G5030|S|1081|0
20890206483233|410019503003|Block Group 3|800202675|4526019|G5030|S|20840206483233|410019503003|Block Group 3|800115996|4526019|G5030|S|800113285|4526019
20890206483233|410019503003|Block Group 3|800202675|4526019|G5030|S|208403716524658|410019506003|Block Group 3|1822664223|18981387|G5030|S|67815|0
20890206483233|410019503003|Block Group 3|800202675|4526019|G5030|S|208403716741030|410459709003|Block Group 3|5042090347|17501806|G5030|S|20494|0
20890206482711|410019504001|Block Group 1|4344188|178981|G5030|S|20840206482711|410019504001|Block Group 1|4345162|178981|G5030|S|4344188|178981
20890206482873|410019504002|Block Group 2|566891|0|G5030|S|20840206482873|410019504002|Block Group 2|566891|0|G5030|S|566891|0
20890206482834|410019504003|Block Group 3|470576|0|G5030|S|20840206482834|410019504003|Block Group 3|470576|0|G5030|S|470576|0
20890206482954|410019505001|Block Group 1|499689031|1304623|G5030|S|20840206482954|410019505001|Block Group 1|499689031|1304623|G5030|S|499689031|1304623
20890206482916|410019505002|Block Group 2|1346929|0|G5030|S|20840206482916|410019505002|Block Group 2|1346929|0|G5030|S|1346929|0
20890206483116|410019506001|Block Group 1|943171468|11647334|G5030|S|20840206483116|410019506001|Block Group 1|943286391|11647334|G5030|S|943171468|11647334
20890206483075|410019506002|Block Group 2|30898596|0|G5030|S|20840206483075|410019506002|Block Group 2|30898596|0|G5030|S|30898596|0
