OID_TRACT_20|GEOID_TRACT_20|NAMELSAD_TRACT_20|AREALAND_TRACT_20|AREAWATER_TRACT_20|MTFCC_TRACT_20|FUNCSTAT_TRACT_20|OID_TRACT_10|GEOID_TRACT_10|NAMELSAD_TRACT_10|AREALAND_TRACT_10|AREAWATER_TRACT_10|MTFCC_TRACT_10|FUNCSTAT_TRACT_10|AREALAND_PART|AREAWATER_PART
20790206509209|41001950100|Census Tract 9501|2875398007|14489031|G5020|S|20740206509209|41001950100|Census Tract 9501|2871062057|14489031|G5020|S|2871020447|14489031
20790206509209|41001950100|Census Tract 9501|2875398007|14489031|G5020|S|20740206509145|41001950300|Census Tract 9503|1751771865|5231275|G5020|S|4350589|0
20790206509209|41001950100|Census Tract 9501|2875398007|14489031|G5020|S|20740465474733|41023960100|Census Tract 9601|7090605376|1331501|G5020|S|23720|0
20790206509209|41001950100|Census Tract 9501|2875398007|14489031|G5020|S|20740449089305|41061970200|Census Tract 9702|1588774899|3426431|G5020|S|3251|0
20790206509131|41001950200|Census Tract 9502|20004679|0|G5020|S|20740206509131|41001950200|Census Tract 9502|20004679|0|G5020|S|20004679|0
20790206509145|41001950300|Census Tract 9503|1747508929|5231275|G5020|S|20740206509209|41001950100|Census Tract 9501|2871062057|14489031|G5020|S|1081|0
20790206509145|41001950300|Census Tract 9503|1747508929|5231275|G5020|S|20740206509145|41001950300|Census Tract 9503|1751771865|5231275|G5020|S|1747418565|5231275
20790206509145|41001950300|Census Tract 9503|1747508929|5231275|G5020|S|20740206509160|41001950400|Census Tract 9504|5382629|178981|G5020|S|974|0
20790206509145|41001950300|Census Tract 9503|1747508929|5231275|G5020|S|20740206509197|41001950600|Census Tract 9506|2796849210|30628721|G5020|S|67815|0
20790206509145|41001950300|Census Tract 9503|1747508929|5231275|G5020|S|207403716726515|41045970900|Census Tract 9709|24578606471|98331152|G5020|S|20494|0
20790206509160|41001950400|Census Tract 9504|5381655|178981|G5020|S|20740206509160|41001950400|Census Tract 9504|5382629|178981|G5020|S|5381655|178981
20790206509178|41001950500|Census Tract 9505|501035960|1304623|G5020|S|20740206509178|41001950500|Census Tract 9505|501035960|1304623|G5020|S|501035960|1304623
20790206509197|41001950600|Census Tract 9506|2796667558|30628721|G5020|S|20740206509145|41001950300|Census Tract 9503|1751771865|5231275|G5020|S|1118|0
20790206509197|41001950600|Census Tract 9506|2796667558|30628721|G5020|S|20740206509197|41001950600|Census Tract 9506|2796849210|30628721|G5020|S|2796666440|30628721
2079015503888752|41003000101|Census Tract 1.01|3486073|0|G5020|S|20740248565316|41003000100|Census Tract 1|8985318|252878|G5020|S|3486073|0
2079015503888793|41003000102|Census Tract 1.02|5499245|252878|G5020|S|20740248565316|41003000100|Census Tract 1|8985318|252878|G5020|S|5499245|252878
207903716965683|41003000202|Census Tract 2.02|13690267|0|G5020|S|207403716965683|41003000202|Census Tract 2.02|13679084|0|G5020|S|13678961|0
207903716965683|41003000202|Census Tract 2.02|13690267|0|G5020|S|207403716965700|41003010900|Census Tract 109|49785129|386013|G5020|S|11306|0
2079015503888765|41003000401|Census Tract 4.01|1829644|0|G5020|S|20740248565403|41003000400|Census Tract 4|9093393|0|G5020|S|1829644|0
2079015503888763|41003000402|Census Tract 4.02|7263749|0|G5020|S|20740248565403|41003000400|Census Tract 4|9093393|0|G5020|S|7263749|0
20790248565262|41003000500|Census Tract 5|18924312|0|G5020|S|20740248565262|41003000500|Census Tract 5|18924792|0|G5020|S|18924312|0
20790248565214|41003000600|Census Tract 6|27138019|717216|G5020|S|20740248565214|41003000600|Census Tract 6|27101012|717216|G5020|S|27023604|717216
20790248565214|41003000600|Census Tract 6|27138019|717216|G5020|S|20740248565420|41003001001|Census Tract 10.01|1750595|0|G5020|S|112731|0
20790248565214|41003000600|Census Tract 6|27138019|717216|G5020|S|207403716965692|41003010600|Census Tract 106|2235748|115816|G5020|S|1684|0
20790248565388|41003000900|Census Tract 9|9591548|0|G5020|S|20740248565388|41003000900|Census Tract 9|9752078|0|G5020|S|9591548|0
20790248565420|41003001001|Census Tract 10.01|1639309|0|G5020|S|20740248565214|41003000600|Census Tract 6|27101012|717216|G5020|S|1445|0
20790248565420|41003001001|Census Tract 10.01|1639309|0|G5020|S|20740248565420|41003001001|Census Tract 10.01|1750595|0|G5020|S|1637864|0
20790248565432|41003001002|Census Tract 10.02|1656250|0|G5020|S|20740248565432|41003001002|Census Tract 10.02|1656250|0|G5020|S|1656250|0
20790248565447|41003001101|Census Tract 11.01|669130|0|G5020|S|20740248565447|41003001101|Census Tract 11.01|669130|0|G5020|S|669130|0
