GEOID,POPBASE,HHBASE,PINC,HHSIZ1,HHSIZ2,HHSIZ3,HHSIZ4,PAGE0TO14,PAGE15TO19,PAGE20TO29,PAGE30TO54,PAGE55TO64,PAGE65PLUS,PRACWHT,PRACBLK,PRACNAT,PRACASN,PRACPAC,PRACOTH,PRACMUL,HHINC1,HHINC2,HHINC3,HHINC4,STATEFP,COUNTYFP,TRACTCE,TRACTGEOID,PUMA,REGION
410290001001,1442,473,10294,174,99,52,148,520,104,155,468,136,59,1274,27,4,0,0,122,15,209,180,50,34,41,029,000100,41029000100,00901,1
410290001002,619,361,9313,244,87,17,13,43,62,118,260,58,78,589,7,3,0,0,4,16,260,87,14,0,41,029,000100,41029000100,00901,1
410290002011,1001,423,14984,140,112,89,82,226,89,232,229,117,108,884,0,16,48,0,39,14,109,194,95,25,41,029,000201,41029000201,00901,1
410290002012,1075,512,20371,172,227,28,85,154,106,146,416,156,97,820,4,225,0,0,0,26,173,116,176,47,41,029,000201,41029000201,00901,1
410290002013,1848,523,9569,168,161,28,166,598,94,261,693,177,25,1722,19,50,0,0,7,50,219,201,87,16,41,029,000201,41029000201,00901,1
410290002021,1266,493,17222,160,146,69,118,191,149,212,395,180,139,1075,0,36,0,0,87,68,99,222,114,58,41,029,000202,41029000202,00901,1
410290002022,821,371,23595,108,139,106,18,90,37,234,303,123,34,755,0,15,0,0,51,0,102,102,134,33,41,029,000202,41029000202,00901,1
410290002023,1813,483,13030,131,125,19,208,382,178,327,736,43,147,1560,8,0,0,0,170,75,194,107,92,90,41,029,000202,41029000202,00901,1
410290002031,995,501,21508,151,255,62,33,178,28,128,386,133,142,859,0,41,0,0,12,83,69,222,139,71,41,029,000203,41029000203,00901,1
410290002032,1633,551,18055,69,231,99,152,350,184,185,631,167,116,1446,18,0,0,0,119,50,108,132,139,172,41,029,000203,41029000203,00901,1
410290002033,1290,508,18257,128,213,39,128,259,68,401,337,120,105,1135,0,5,0,0,98,52,91,175,162,80,41,029,000203,41029000203,00901,1
410290003001,2656,868,21391,145,226,226,271,811,92,362,882,320,189,2377,0,170,51,0,33,25,146,213,226,283,41,029,000300,41029000300,00901,1
410290003002,3608,1466,16739,471,363,401,231,908,38,871,914,346,531,3415,8,0,47,0,36,102,557,520,263,126,41,029,000300,41029000300,00901,1
410290004031,3112,1210,35009,326,470,151,263,521,288,235,777,546,745,2850,27,5,37,0,49,144,91,175,361,583,41,029,000403,41029000403,00901,1
410290004032,804,315,29047,66,114,100,35,110,0,149,186,184,175,763,4,0,0,0,0,37,7,72,87,149,41,029,000403,41029000403,00901,1
410290004041,2338,819,26727,144,296,99,280,450,139,181,648,378,542,2098,0,0,19,0,11,210,77,194,183,365,41,029,000404,41029000404,00901,1
410290004042,2473,889,37266,106,407,181,195,436,255,115,686,386,595,2352,42,0,73,0,6,0,53,136,191,509,41,029,000404,41029000404,00901,1
410290004051,1956,675,18608,188,177,121,189,526,47,351,684,111,237,1688,55,0,22,75,26,90,229,171,134,141,41,029,000405,41029000405,00901,1
410290004052,2461,1067,23765,394,392,107,174,348,106,305,833,430,439,2295,42,0,0,88,7,29,219,245,414,189,41,029,000405,41029000405,00901,1
410290004061,1759,878,23687,444,241,106,87,211,50,555,248,194,501,1485,0,0,53,0,178,43,143,384,211,140,41,029,000406,41029000406,00901,1
410290004062,3077,1084,24762,265,368,140,311,780,246,327,956,336,432,2613,9,16,98,69,0,272,104,250,299,431,41,029,000406,41029000406,00901,1
410290005011,1225,549,15808,177,193,123,56,286,64,327,347,114,87,1032,0,7,0,41,18,127,210,213,57,69,41,029,000501,41029000501,00901,1
410290005012,1692,729,29109,247,271,104,107,370,81,259,469,225,288,1595,0,19,12,0,36,30,103,236,166,224,41,029,000501,41029000501,00901,1
410290005021,1604,456,23298,69,154,66,167,343,98,245,492,231,195,1304,0,0,111,0,118,71,0,171,107,178,41,029,000502,41029000502,00901,1
410290005022,2564,851,17454,265,376,43,167,394,146,492,1049,235,248,2211,42,0,65,106,0,140,273,396,98,84,41,029,000502,41029000502,00901,1
410290005023,1953,1003,13306,567,239,150,47,432,54,402,491,136,438,1679,0,182,64,0,0,28,514,355,98,36,41,029,000502,41029000502,00901,1
410290006011,1966,614,52221,15,272,94,233,595,28,162,647,233,301,1810,0,0,50,0,0,106,35,30,88,461,41,029,000601,41029000601,00901,1
410290006012,1489,573,45306,102,287,55,129,231,50,49,474,283,402,1477,0,0,0,0,12,0,64,60,138,311,41,029,000601,41029000601,00901,1
410290006013,1768,718,38163,176,264,158,120,314,142,186,695,172,259,1723,0,26,19,0,0,0,54,159,113,392,41,029,000601,41029000601,00901,1
410290006014,1447,678,31430,247,293,103,35,147,24,75,306,142,753,1389,0,12,24,0,0,22,69,161,251,197,41,029,000601,41029000601,00901,1
410290006021,1684,794,21908,345,253,72,124,303,219,280,441,124,317,1542,0,0,49,0,0,93,226,326,73,169,41,029,000602,41029000602,00901,1
410290006022,2138,1182,28388,598,407,94,83,258,29,104,698,278,771,1943,64,0,46,23,0,62,339,417,202,224,41,029,000602,41029000602,00901,1
410290006023,1658,906,54588,299,546,29,32,68,0,22,194,102,1272,1539,0,0,93,0,0,26,109,169,169,459,41,029,000602,41029000602,00901,1
410290007001,1586,604,23216,60,245,216,83,204,100,311,323,374,274,1326,2,47,129,0,0,82,111,187,124,182,41,029,000700,41029000700,00901,1
410290007002,2630,962,17757,111,429,110,312,554,240,184,1152,258,242,2364,0,0,0,0,195,71,101,458,230,173,41,029,000700,41029000700,00901,1
410290007003,794,352,33081,57,263,0,32,85,17,56,122,163,351,778,16,0,0,0,0,0,15,52,166,119,41,029,000700,41029000700,00901,1
410290007004,1815,699,20976,109,313,84,193,537,60,220,474,210,314,1432,107,41,23,0,100,112,134,218,90,257,41,029,000700,41029000700,00901,1
410290007005,2708,943,26088,149,314,260,220,786,94,259,847,396,326,2587,17,0,0,0,0,104,49,155,350,389,41,029,000700,41029000700,00901,1
410290008001,3669,1462,22264,381,556,248,277,578,271,518,1070,581,651,3343,4,47,0,0,0,275,342,435,333,352,41,029,000800,41029000800,00901,1
410290008002,1944,954,25458,319,401,160,74,283,36,183,489,369,584,1784,0,37,33,0,0,90,282,267,229,176,41,029,000800,41029000800,00901,1
410290009001,1033,383,34209,21,220,67,75,159,29,103,407,142,193,1005,0,0,0,0,0,28,35,41,119,188,41,029,000900,41029000900,00901,1
410290009002,2205,898,36693,268,363,71,196,410,193,84,695,324,499,2104,0,0,74,27,0,0,144,273,114,367,41,029,000900,41029000900,00901,1
410290009003,827,307,51892,46,194,0,67,132,78,25,227,124,241,821,0,0,0,0,6,0,15,75,45,172,41,029,000900,41029000900,00901,1
410290009004,4920,1726,22873,480,466,348,432,1247,383,680,1607,412,591,4483,25,2,0,32,43,335,393,360,355,618,41,029,000900,41029000900,00901,1
410290010011,1447,495,19872,89,172,74,160,414,130,67,552,125,159,1272,1,174,0,0,0,0,0,209,204,82,41,029,001001,41029001001,00901,1
410290010012,406,237,19314,151,40,46,0,65,0,0,216,87,38,320,0,0,0,65,0,21,106,85,46,0,41,029,001001,41029001001,00901,1
410290010013,3022,1118,22369,289,361,208,260,636,216,267,1167,358,378,2790,10,14,0,0,175,33,146,332,374,266,41,029,001001,41029001001,00901,1
410290010014,1469,801,23525,360,331,80,30,149,52,76,298,149,745,1437,0,0,32,0,0,0,85,373,313,30,41,029,001001,41029001001,00901,1
410290010021,2669,941,22143,168,404,96,273,707,123,344,749,337,409,2509,26,58,64,0,7,5,108,202,330,301,41,029,001002,41029001002,00901,1
410290010022,1025,456,22862,76,303,43,34,120,78,154,393,54,226,1015,0,0,0,0,0,10,65,172,141,78,41,029,001002,41029001002,00901,1
410290010023,885,333,10612,76,63,137,57,327,76,131,276,58,17,744,0,60,30,0,0,51,142,149,11,31,41,029,001002,41029001002,00901,1
410290011001,1501,688,27983,139,443,38,68,139,0,91,358,497,416,1300,0,0,0,0,0,201,179,109,133,267,41,029,001100,41029001100,00901,1
410290011002,2760,1037,32716,296,327,91,323,515,260,117,1003,279,586,2625,0,0,0,0,30,105,65,331,177,464,41,029,001100,41029001100,00901,1
410290011003,1015,349,19772,81,96,97,75,229,69,215,164,127,211,1015,0,0,0,0,0,0,44,153,79,73,41,029,001100,41029001100,00901,1
410290012001,4266,1463,22683,309,519,168,467,939,255,625,1422,409,616,3880,8,0,58,17,30,273,178,442,495,348,41,029,001200,41029001200,00901,1
410290012002,130,61,35233,18,32,11,0,0,0,27,49,19,35,130,0,0,0,0,0,0,9,20,13,19,41,029,001200,41029001200,00901,1
410290013011,1290,445,22131,59,172,62,152,160,174,211,397,163,185,1236,0,0,0,0,0,54,56,98,182,109,41,029,001301,41029001301,00902,1
410290013012,664,80,18418,30,40,10,0,0,9,34,223,236,162,567,13,4,0,0,3,77,29,18,15,18,41,029,001301,41029001301,00902,1
410290013013,1183,386,18975,84,74,48,180,283,93,206,428,86,87,939,0,0,12,14,13,205,110,68,112,96,41,029,001301,41029001301,00902,1
410290013014,2462,697,21303,32,261,168,236,546,183,314,781,242,396,2200,0,23,10,0,38,191,87,164,246,200,41,029,001301,41029001301,00902,1
410290013021,926,441,36540,93,231,98,19,26,52,17,438,164,229,914,0,0,0,0,0,12,106,28,123,184,41,029,001302,41029001302,00902,1
410290013022,2596,876,38189,60,373,128,315,610,136,179,815,338,518,2093,0,0,123,0,38,342,29,89,185,573,41,029,001302,41029001302,00902,1
410290013023,2454,790,17168,126,293,32,339,417,139,469,793,325,311,2080,0,15,0,0,87,272,101,196,398,95,41,029,001302,41029001302,00902,1
410290013024,2449,712,15588,74,177,197,264,593,177,475,762,186,256,2134,67,64,0,0,0,184,81,218,283,130,41,029,001302,41029001302,00902,1
410290013025,1563,464,14983,33,196,100,135,302,49,204,546,274,188,1313,138,0,0,0,0,112,100,153,113,98,41,029,001302,41029001302,00902,1
410290014001,3650,1545,40298,497,449,203,396,846,169,474,837,660,664,3563,26,0,0,0,0,61,191,234,304,816,41,029,001400,41029001400,00902,1
410290014002,2625,752,36879,47,188,189,328,336,411,231,1073,302,272,2440,0,0,0,0,134,51,23,73,251,405,41,029,001400,41029001400,00902,1
410290014003,4654,1834,20733,602,486,289,457,1138,180,800,1209,492,835,4293,0,0,0,0,26,335,457,488,461,428,41,029,001400,41029001400,00902,1
410290015001,926,425,27857,75,252,67,31,44,59,69,169,221,364,722,0,0,0,0,145,59,20,115,176,114,41,029,001500,41029001500,00902,1
410290015002,2052,817,47590,125,453,72,167,378,58,59,638,186,733,2052,0,0,0,0,0,0,70,140,160,447,41,029,001500,41029001500,00902,1
410290015003,788,280,21849,64,44,100,72,164,32,57,381,25,129,751,0,0,0,0,0,37,35,101,61,83,41,029,001500,41029001500,00902,1
410290015004,1163,711,31814,366,293,20,32,73,27,83,273,101,606,1125,0,0,16,22,0,0,196,118,227,170,41,029,001500,41029001500,00902,1
410290016011,3691,1480,19069,490,529,210,251,632,262,575,1131,396,695,3192,9,15,0,0,282,193,278,659,335,208,41,029,001601,41029001601,00901,1
410290016012,960,522,20184,182,265,68,7,53,0,142,101,229,435,886,0,22,0,0,0,52,146,185,157,34,41,029,001601,41029001601,00901,1
410290016021,1426,540,27828,155,220,63,102,207,104,71,547,273,224,1379,0,0,41,0,0,6,99,64,151,226,41,029,001602,41029001602,00902,1
410290016022,1809,796,23333,378,142,128,148,367,106,73,648,255,360,1175,0,0,58,0,443,133,273,234,190,99,41,029,001602,41029001602,00902,1
410290016023,535,238,34065,21,169,24,24,73,13,46,146,148,109,502,0,0,0,0,0,33,68,61,0,109,41,029,001602,41029001602,00902,1
410290016024,1076,447,34825,112,210,93,32,177,57,15,367,211,249,1076,0,0,0,0,0,0,79,30,139,199,41,029,001602,41029001602,00902,1
410290016025,2021,924,22953,372,337,58,157,274,264,161,675,199,448,1768,0,0,22,0,29,202,235,295,189,205,41,029,001602,41029001602,00902,1
410290017001,1211,503,21865,150,259,68,26,76,49,120,412,231,323,1104,3,13,19,0,7,65,109,117,158,119,41,029,001700,41029001700,00902,1
410290017002,2346,1003,22550,264,371,234,134,484,136,261,881,370,214,2296,0,0,13,0,14,23,228,299,265,211,41,029,001700,41029001700,00902,1
410290017003,563,359,24986,189,147,23,0,13,0,0,108,131,311,553,0,10,0,0,0,0,85,165,69,40,41,029,001700,41029001700,00902,1
410290017004,3291,1483,20459,541,512,158,272,702,215,314,1059,317,684,2996,2,10,109,0,80,94,640,330,254,259,41,029,001700,41029001700,00902,1
410290018001,1633,701,32851,250,215,87,149,241,177,25,587,383,220,1622,0,0,0,0,0,11,78,139,194,290,41,029,001800,41029001800,00902,1
410290018002,2490,1087,49730,374,372,197,144,205,64,160,629,462,970,2248,0,0,134,0,0,108,105,115,313,554,41,029,001800,41029001800,00902,1
410290018003,2734,1311,35025,462,525,233,91,526,118,246,775,468,601,2557,0,0,45,0,80,52,479,274,225,333,41,029,001800,41029001800,00902,1
410290018004,1586,824,23002,273,444,88,19,120,82,507,281,221,375,1410,0,34,0,0,41,101,333,192,205,94,41,029,001800,41029001800,00902,1
410290019001,1636,601,17270,223,189,81,108,170,241,635,384,98,108,1411,2,35,71,0,30,87,148,287,91,75,41,029,001900,41029001900,00902,1
410290019002,1252,296,21445,102,109,39,46,46,250,317,400,111,128,1058,101,8,36,0,0,49,112,33,54,97,41,029,001900,41029001900,00902,1
410290020001,1343,712,34467,294,296,64,58,118,55,271,477,185,237,1314,0,0,15,0,0,14,125,196,226,165,41,029,002000,41029002000,00902,1
410290020002,927,506,40276,263,139,74,30,55,63,164,237,209,199,886,0,0,13,0,0,28,130,138,87,151,41,029,002000,41029002000,00902,1
410290021001,1907,926,37827,406,327,66,127,288,50,260,446,356,507,1791,0,4,76,0,0,36,165,320,129,312,41,029,002100,41029002100,00902,1
410290021002,783,460,36331,289,89,52,30,140,33,73,175,168,194,656,80,0,0,0,42,5,141,107,105,107,41,029,002100,41029002100,00902,1
410290021003,761,428,76576,184,212,0,32,78,22,30,186,193,252,739,0,0,22,0,0,0,84,41,87,216,41,029,002100,41029002100,00902,1
410290022001,664,315,51770,50,223,24,18,43,40,78,108,117,278,640,0,0,24,0,0,0,27,110,11,167,41,029,002200,41029002200,00902,1
410290022002,1436,725,34827,379,158,88,100,167,44,523,278,199,225,1384,43,0,0,0,0,9,270,73,95,287,41,029,002200,41029002200,00902,1
410290022003,1016,474,52155,122,211,78,63,109,120,32,284,249,222,865,63,0,0,0,0,88,35,102,89,248,41,029,002200,41029002200,00902,1
410290022004,1245,674,44145,337,175,120,42,210,37,82,396,194,326,1172,35,0,38,0,0,0,116,197,193,168,41,029,002200,41029002200,00902,1
410290023001,645,294,32481,62,167,46,19,19,25,41,147,206,207,589,0,11,0,0,0,45,75,35,57,127,41,029,002300,41029002300,00902,1
410290023002,934,391,40841,99,188,61,43,151,35,49,206,220,273,909,0,0,0,0,25,0,52,100,85,154,41,029,002300,41029002300,00902,1
410290024001,956,378,26876,114,160,49,55,65,83,115,291,146,256,919,6,0,7,0,24,0,43,138,78,119,41,029,002400,41029002400,00902,1
410290024002,1046,435,34809,85,241,59,50,169,94,56,282,179,266,903,8,0,12,0,0,123,91,108,70,166,41,029,002400,41029002400,00902,1
410290025001,1198,538,58357,149,264,72,53,112,54,79,243,384,326,1167,11,8,12,0,0,0,58,44,124,312,41,029,002500,41029002500,00902,1
410290025003,735,284,32240,63,126,37,58,146,61,42,236,124,126,714,21,0,0,0,0,0,33,93,27,131,41,029,002500,41029002500,00902,1
410290030011,1019,405,29672,23,262,60,60,118,53,114,199,239,296,1019,0,0,0,0,0,0,30,88,138,149,41,029,003001,41029003001,00902,1
