TRACTGEOID,POPBASE,HHBASE,HHWRK0,HHWRK1,HHWRK2,HHWRK3,SF,DUP,MF,MH,STATEFP,COUNTYFP,TRACTCE,PUMA,REGION
41029000100,2061,834,720,614,271,24,348,48,454,61,41,029,000100,00901,1
41029000201,3924,1458,618,1410,598,35,990,108,410,0,41,029,000201,00901,1
41029000202,3900,1347,782,950,606,142,908,223,367,8,41,029,000202,00901,1
41029000203,3918,1560,530,1594,571,244,1437,118,12,18,41,029,000203,00901,1
41029000300,6264,2334,1374,1854,975,224,1135,188,692,405,41,029,000300,00901,1
41029000403,3916,1525,982,1120,619,112,1494,33,134,10,41,029,000403,00901,1
41029000404,4811,1708,910,1038,1007,205,1736,0,8,26,41,029,000404,00901,1
41029000405,4417,1742,1008,1200,720,201,763,62,948,0,41,029,000405,00901,1
41029000406,4836,1962,1360,1158,910,177,1204,0,835,0,41,029,000406,00901,1
41029000501,2917,1278,600,1320,434,34,989,85,361,31,41,029,000501,00901,1
41029000502,6121,2310,1788,1430,970,173,1144,57,1318,0,41,029,000502,00901,1
41029000601,6670,2583,2034,1360,1410,51,2559,15,311,0,41,029,000601,00901,1
41029000602,5480,2882,3310,1412,673,52,1869,143,1053,0,41,029,000602,00901,1
41029000700,9533,3560,1662,3044,1827,115,3001,135,66,550,41,029,000700,00901,1
41029000800,5613,2416,2122,1378,815,253,1729,0,355,547,41,029,000800,00901,1
41029000900,8985,3314,1968,2354,1533,359,3139,17,316,162,41,029,000900,00901,1
41029001001,6344,2651,1790,1976,1056,141,2098,80,275,461,41,029,001001,00901,1
41029001002,4579,1730,1014,1244,810,90,1267,32,416,78,41,029,001002,00901,1
41029001100,5276,2074,1354,1474,885,110,1635,0,33,519,41,029,001100,00901,1
41029001200,4396,1524,718,1182,761,184,1181,83,342,0,41,029,001200,00901,1
41029001301,5599,1608,874,768,1049,270,1245,0,108,350,41,029,001301,00902,1
41029001302,9988,3283,1614,2358,1543,633,2489,0,29,1133,41,029,001302,00902,1
41029001400,10929,4131,3008,2164,2200,416,3424,83,423,492,41,029,001400,00902,1
41029001500,4929,2233,2004,1094,832,140,1741,37,306,387,41,029,001500,00902,1
41029001601,4651,2002,1590,1442,563,108,217,57,381,1572,41,029,001601,00901,1
41029001602,6867,2945,2222,1926,923,352,1801,121,599,698,41,029,001602,00902,1
41029001700,7411,3348,2644,2576,1037,94,2014,229,409,821,41,029,001700,00902,1
41029001800,8443,3923,3300,2484,1235,303,2872,59,787,410,41,029,001800,00902,1
41029001900,2888,897,420,828,297,121,631,41,356,9,41,029,001900,00902,1
41029002000,2270,1218,822,916,423,44,866,105,402,0,41,029,002000,00902,1
41029002100,3451,1814,1606,1322,512,0,1427,92,421,0,41,029,002100,00902,1
41029002200,4361,2188,1788,1540,538,265,2026,67,273,104,41,029,002200,00902,1
41029002300,1579,685,596,344,237,67,661,0,2,98,41,029,002300,00902,1
41029002400,2002,813,578,556,275,78,796,4,15,120,41,029,002400,00902,1
41029002500,2540,1130,790,868,347,75,1226,0,0,152,41,029,002500,00902,1
41029003001,3943,1749,1466,1216,501,66,1155,0,11,683,41,029,003001,00902,1
