SERIALNO,hhnum,PUMA,REGION,NP,NW,HHINCADJ,WGTP,HTYPE
2013000000048,1,00800,1,2,1,42691.2342,46,SF
2013000000218,2,01319,1,2,1,109489.2101,22,SF
2013000000279,3,00300,1,2,1,32921.101,57,SF
2013000000509,4,01105,1,1,1,11469.2868,22,MH
2013000000531,5,01314,1,2,1,235863.7591,140,MF
2013000000612,6,01321,1,2,0,64249.2455,11,SF
2013000000812,7,00500,1,1,1,18053.507,10,MF
2013000000877,8,00500,1,5,1,33749.43838,45,SF
2013000000947,9,00100,1,4,2,45239.9646,4,MH
2013000001039,10,00600,1,1,0,37168.985,24,SF
2013000001353,11,00902,1,1,0,9345.3448,8,MF
2013000001373,12,00902,1,2,0,114161.8825,16,SF
2013000001430,13,01323,1,2,2,159295.65,13,SF
2013000001609,14,00600,1,1,1,77523.883,15,SF
2013000001733,15,01320,1,2,0,14018.0172,23,SF
2013000001858,16,00705,1,2,0,89917.08457,15,MH
2013000001947,17,01301,1,2,1,59098.68615,13,DUP
2013000001962,18,00300,1,4,2,82833.738,18,SF
2013000002077,19,01105,1,4,2,105135.129,25,SF
2013000002284,20,00200,1,2,0,63081.0774,12,SF
2013000002325,21,01305,1,5,2,179685.4932,13,SF
2013000002433,22,01314,1,2,1,100887.245,14,SF
2013000002573,23,00100,1,2,0,52142.7761,14,SF
2013000002639,24,01305,1,2,1,140180.172,15,SF
2013000002673,25,00200,1,2,0,27398.8518,19,MH
2013000002708,26,00901,1,5,1,126693.1403,10,SF
2013000002837,27,01323,1,4,2,98763.303,13,SF
2013000002875,28,01321,1,6,2,34620.2546,14,SF
2013000003026,29,00500,1,2,1,42542.55826,9,SF
2013000003050,30,01316,1,4,2,92072.8857,14,SF
2013000003130,31,00901,1,2,1,51133.90365,17,SF
2013000003236,32,01324,1,2,2,106728.0855,22,SF
2013000003247,33,01000,1,1,0,37168.985,12,SF
2013000003394,34,01103,1,2,1,71152.057,13,SF
2013000003410,35,00703,1,2,2,43540.811,11,SF
2013000003456,36,00500,1,2,0,28885.6112,15,SF
2013000003677,37,00800,1,2,2,113630.897,20,SF
2013000003706,38,01303,1,7,4,138799.6097,13,SF
2013000003817,39,01323,1,2,0,20804.01189,13,MF
2013000004000,40,01316,1,1,1,11681.681,24,MF
2013000004066,41,01105,1,1,1,25699.6982,7,MH
2013000004109,42,01303,1,4,2,84957.68,15,SF
2013000004174,43,01301,1,4,2,124250.607,19,MH
2013000004228,44,01321,1,3,2,130781.72865,34,SF
2013000004475,45,00200,1,3,0,67328.9614,2,SF
2013000004597,46,01305,1,2,2,132746.375,15,SF
2013000004757,47,00600,1,2,2,85361.22898,31,SF
2013000004986,48,00901,1,1,1,38230.956,15,SF
2013000004998,49,01305,1,1,1,33983.072,21,SF
2013000005279,50,00901,1,2,2,126374.549,12,SF
2013000005346,51,00200,1,1,0,13699.4259,12,SF
2013000005386,52,00704,1,2,0,59470.376,11,SF
2013000005452,53,01316,1,4,2,81134.5844,14,SF
2013000005580,54,01302,1,2,2,47788.695,13,SF
2013000005675,55,00902,1,3,2,43540.811,9,MF
2013000005962,56,00703,1,3,1,27611.246,35,SF
2013000006046,57,01000,1,3,1,47257.7095,24,SF
2013000006052,58,01317,1,10,3,102374.0044,67,SF
2013000006518,59,00800,1,1,1,138056.23,23,SF
2013000006609,60,00500,1,2,0,12637.4549,14,SF
2013000006693,61,00600,1,3,2,81771.767,20,DUP
2013000006898,62,01302,1,2,2,45133.7675,51,MF
2013000007086,63,00100,1,2,2,78585.854,12,SF
2013000007087,64,00704,1,2,1,50974.608,36,SF
2013000007096,65,01323,1,6,1,38230.956,11,MF
2013000007140,66,01319,1,2,2,118940.752,7,SF
2013000007164,67,00100,1,2,0,25172.960584,12,SF
2013000007196,68,01317,1,4,2,60532.347,15,SF
2013000007348,69,01314,1,1,0,12743.652,13,MF
2013000007363,70,01301,1,2,0,63505.8658,12,SF
2013000007473,71,00705,1,2,2,78585.854,12,SF
2013000007515,72,01321,1,1,0,26443.0779,34,SF
2013000007777,73,01301,1,4,4,187437.8815,8,SF
2013000007782,74,01317,1,2,0,11681.681,67,MH
2013000007948,75,01318,1,4,2,106197.1,47,SF
2013000008339,76,01200,1,2,2,151861.853,24,SF
2013000008397,77,00300,1,2,1,22088.9968,6,SF
2013000008558,78,01314,1,2,2,329211.01,28,SF
2013000008663,79,00300,1,2,1,9334.72509,4,SF
2013000008760,80,01324,1,3,2,91786.15353,21,SF
2013000008817,81,00500,1,1,0,18159.7041,16,MF
2013000008873,82,01320,1,1,1,29522.7938,13,MF
2013000008888,83,00100,1,3,2,36107.014,4,MH
2013000009064,84,01000,1,1,0,27611.246,11,SF
2013000009127,85,01320,1,1,0,5203.6579,19,MF
2013000009198,86,01200,1,5,2,63718.26,106,SF
2013000009343,87,00600,1,1,1,33983.072,23,SF
2013000009377,88,00901,1,2,0,24000.5446,24,MH
2013000009516,89,00901,1,1,0,28991.8083,14,MH
2013000009534,90,01301,1,4,2,84957.68,14,SF
2013000009800,91,01301,1,6,2,52036.579,41,MH
2013000009910,92,01105,1,1,0,20496.0403,5,DUP
2013000010012,93,01302,1,2,2,79647.825,6,SF
2013000010137,94,01000,1,2,2,44602.782,14,SF
2013000010152,95,00500,1,3,2,107259.071,37,SF
2013000010225,96,00800,1,2,1,30372.3706,23,MH
2013000010250,97,00705,1,1,1,13699.4259,17,MH
2013000010336,98,01320,1,5,2,73275.999,9,SF
2013000010383,99,01302,1,1,0,12531.2578,18,MF
2013000010413,100,00703,1,5,2,38815.04005,26,SF
2013000010462,101,00500,1,1,1,21027.0258,15,SF
2013000010469,102,00800,1,1,0,50656.0167,18,SF
2013000010626,103,00500,1,3,1,31221.9474,39,SF
2013000010634,104,00600,1,1,0,18053.507,4,SF
2013000010783,105,01318,1,3,2,169915.36,13,SF
2013000010907,106,01323,1,5,1,74337.97,19,SF
2013000011055,107,01317,1,4,1,72214.028,14,MH
2013000011390,108,01320,1,2,1,7858.5854,21,SF
2013000011447,109,01000,1,2,1,26124.4866,5,MH
2013000011476,110,00100,1,6,1,74337.97,40,SF
2013000011510,111,00800,1,1,0,25487.304,11,SF
2013000011539,112,01000,1,6,1,38230.956,25,SF
2013000011613,113,01314,1,1,1,73275.999,12,SF
2013000011779,114,00901,1,1,1,50974.608,14,MF
2013000011788,115,01314,1,2,1,1039669.609,8,SF
2013000011808,116,01316,1,3,1,66479.3846,17,SF
2013000011882,117,00901,1,1,1,42478.84,9,DUP
2013000011964,118,01301,1,4,2,210801.2435,9,SF
2013000011972,119,01319,1,2,0,131684.404,13,MF
2013000012157,120,00500,1,2,2,36107.014,9,SF
2013000012294,121,00400,1,1,1,54160.521,28,SF
2013000012341,122,00300,1,3,1,29310.3996,9,MH
2013000012397,123,00200,1,5,1,49063.0602,14,SF
2013000012427,124,00500,1,1,0,18796.8867,16,MH
2013000012450,125,01316,1,1,0,2017.7449,17,SF
2013000012640,126,01301,1,2,2,169947.21913,15,SF
2013000012681,127,00600,1,5,1,23894.3475,6,SF
2013000012698,128,00100,1,3,1,59173.02412,18,MF
2013000012953,129,01305,1,2,1,138056.23,12,SF
2013000013044,130,01000,1,2,1,114586.6709,6,SF
2013000013283,131,01303,1,1,1,159295.65,14,SF
2013000013390,132,01320,1,1,1,27611.246,11,MF
2013000013506,133,01318,1,2,0,73541.49175,23,SF
2013000013535,134,00705,1,5,2,79647.825,10,SF
2013000013600,135,00400,1,2,0,0,25,SF
2013000013710,136,00600,1,2,1,12743.652,19,SF
2013000013809,137,00705,1,5,2,132480.88225,12,SF
2013000013837,138,00500,1,1,1,37699.9705,10,SF
2013000014009,139,01000,1,1,0,29310.3996,17,SF
2013000014043,140,00600,1,2,0,67541.3556,15,SF
2013000014493,141,00703,1,1,1,3185.913,28,MF
2013000014559,142,01319,1,1,0,9026.7535,21,MF
2013000014676,143,00500,1,2,0,57877.4195,5,SF
2013000014710,144,01200,1,4,3,70355.57875,18,SF
2013000014767,145,01319,1,1,0,138056.23,19,SF
2013000014866,146,01322,1,2,2,58408.405,19,MF
2013000014883,147,00600,1,1,0,19115.478,45,MF
2013000015332,148,01200,1,1,0,48850.666,16,SF
2013000015388,149,01322,1,2,2,81665.5699,7,SF
2013000015460,150,01314,1,1,0,76886.7004,4,SF
2013000015507,151,00200,1,1,0,16991.536,11,SF
2013000015532,152,01105,1,2,2,57558.8282,13,SF
