Year,Value
1999,169.9083333
2000,176.3916667
2001,183.2583333
2002,187.1833333
2003,191.2
2004,195.3916667
2005,201.575
2006,208.95
2007,215.647
2008,223.2995833
2009,222.7619167
2010,225.2905
2011,231.4970834
2012,236.7289167
2013,240.5363334
2014,245.3185
2015,248.735
2016,254.3065
2017,262.04525
2018,271.8326583
2019,279.198375
2020,286.30015
2021,293.187575
2022,299.87065
2023,306.50315
2024,313.2873
2025,319.904175
2026,326.7037
2027,333.812725
2028,341.00935
2029,348.5115557
2030,356.1788099
2031,364.0147437
2032,372.0230681
2033,380.2075756
2034,388.5721423
2035,397.1207294
2036,405.8573854
2037,414.7862479
2038,423.9115454
2039,433.2375994
2040,442.7688266
2041,452.5097407
2042,462.464955
2043,472.6391841
2044,483.0372461
2045,493.6640655
2046,504.524675
2047,515.6242178
2048,526.9679506
2049,538.5612455
2050,550.4095929
