Geo,Year,HighCarSvcCost.2018,LowCarSvcCost.2018,AveCarSvcVehicleAge,AutoCarSvcSubProp,LtTrkCarSvcSubProp
1,2005,2,4,5,0.95,0.75
2,2005,2,4,5,0.95,0.75
3,2005,2,4,5,0.95,0.75
4,2005,2,4,5,0.95,0.75
5,2005,2,4,5,0.95,0.75
6,2005,2,4,5,0.95,0.75
7,2005,2,4,5,0.95,0.75
8,2005,2,4,5,0.95,0.75
9,2005,2,4,5,0.95,0.75
10,2005,2,4,5,0.95,0.75
11,2005,2,4,5,0.95,0.75
12,2005,2,4,5,0.95,0.75
13,2005,2,4,5,0.95,0.75
14,2005,2,4,5,0.95,0.75
15,2005,2,4,5,0.95,0.75
16,2005,2,4,5,0.95,0.75
17,2005,2,4,5,0.95,0.75
18,2005,2,4,5,0.95,0.75
19,2005,2,4,5,0.95,0.75
20,2005,2,4,5,0.95,0.75
1,2010,2,4,5,0.95,0.75
2,2010,2,4,5,0.95,0.75
3,2010,2,4,5,0.95,0.75
4,2010,2,4,5,0.95,0.75
5,2010,2,4,5,0.95,0.75
6,2010,2,4,5,0.95,0.75
7,2010,2,4,5,0.95,0.75
8,2010,2,4,5,0.95,0.75
9,2010,2,4,5,0.95,0.75
10,2010,2,4,5,0.95,0.75
11,2010,2,4,5,0.95,0.75
12,2010,2,4,5,0.95,0.75
13,2010,2,4,5,0.95,0.75
14,2010,2,4,5,0.95,0.75
15,2010,2,4,5,0.95,0.75
16,2010,2,4,5,0.95,0.75
17,2010,2,4,5,0.95,0.75
18,2010,2,4,5,0.95,0.75
19,2010,2,4,5,0.95,0.75
20,2010,2,4,5,0.95,0.75
1,2020,2,4,5,0.95,0.75
2,2020,2,4,5,0.95,0.75
3,2020,2,4,5,0.95,0.75
4,2020,2,4,5,0.95,0.75
5,2020,2,4,5,0.95,0.75
6,2020,2,4,5,0.95,0.75
7,2020,2,4,5,0.95,0.75
8,2020,2,4,5,0.95,0.75
9,2020,2,4,5,0.95,0.75
10,2020,2,4,5,0.95,0.75
11,2020,2,4,5,0.95,0.75
12,2020,2,4,5,0.95,0.75
13,2020,2,4,5,0.95,0.75
14,2020,2,4,5,0.95,0.75
15,2020,2,4,5,0.95,0.75
16,2020,2,4,5,0.95,0.75
17,2020,2,4,5,0.95,0.75
18,2020,2,4,5,0.95,0.75
19,2020,2,4,5,0.95,0.75
20,2020,2,4,5,0.95,0.75
1,2025,2,4,5,0.95,0.75
2,2025,2,4,5,0.95,0.75
3,2025,2,4,5,0.95,0.75
4,2025,2,4,5,0.95,0.75
5,2025,2,4,5,0.95,0.75
6,2025,2,4,5,0.95,0.75
7,2025,2,4,5,0.95,0.75
8,2025,2,4,5,0.95,0.75
9,2025,2,4,5,0.95,0.75
10,2025,2,4,5,0.95,0.75
11,2025,2,4,5,0.95,0.75
12,2025,2,4,5,0.95,0.75
13,2025,2,4,5,0.95,0.75
14,2025,2,4,5,0.95,0.75
15,2025,2,4,5,0.95,0.75
16,2025,2,4,5,0.95,0.75
17,2025,2,4,5,0.95,0.75
18,2025,2,4,5,0.95,0.75
19,2025,2,4,5,0.95,0.75
20,2025,2,4,5,0.95,0.75
1,2030,2,4,5,0.95,0.75
2,2030,2,4,5,0.95,0.75
3,2030,2,4,5,0.95,0.75
4,2030,2,4,5,0.95,0.75
5,2030,2,4,5,0.95,0.75
6,2030,2,4,5,0.95,0.75
7,2030,2,4,5,0.95,0.75
8,2030,2,4,5,0.95,0.75
9,2030,2,4,5,0.95,0.75
10,2030,2,4,5,0.95,0.75
11,2030,2,4,5,0.95,0.75
12,2030,2,4,5,0.95,0.75
13,2030,2,4,5,0.95,0.75
14,2030,2,4,5,0.95,0.75
15,2030,2,4,5,0.95,0.75
16,2030,2,4,5,0.95,0.75
17,2030,2,4,5,0.95,0.75
18,2030,2,4,5,0.95,0.75
19,2030,2,4,5,0.95,0.75
20,2030,2,4,5,0.95,0.75
1,2035,2,4,5,0.95,0.75
2,2035,2,4,5,0.95,0.75
3,2035,2,4,5,0.95,0.75
4,2035,2,4,5,0.95,0.75
5,2035,2,4,5,0.95,0.75
6,2035,2,4,5,0.95,0.75
7,2035,2,4,5,0.95,0.75
8,2035,2,4,5,0.95,0.75
9,2035,2,4,5,0.95,0.75
10,2035,2,4,5,0.95,0.75
11,2035,2,4,5,0.95,0.75
12,2035,2,4,5,0.95,0.75
13,2035,2,4,5,0.95,0.75
14,2035,2,4,5,0.95,0.75
15,2035,2,4,5,0.95,0.75
16,2035,2,4,5,0.95,0.75
17,2035,2,4,5,0.95,0.75
18,2035,2,4,5,0.95,0.75
19,2035,2,4,5,0.95,0.75
20,2035,2,4,5,0.95,0.75
1,2040,2,4,5,0.95,0.75
2,2040,2,4,5,0.95,0.75
3,2040,2,4,5,0.95,0.75
4,2040,2,4,5,0.95,0.75
5,2040,2,4,5,0.95,0.75
6,2040,2,4,5,0.95,0.75
7,2040,2,4,5,0.95,0.75
8,2040,2,4,5,0.95,0.75
9,2040,2,4,5,0.95,0.75
10,2040,2,4,5,0.95,0.75
11,2040,2,4,5,0.95,0.75
12,2040,2,4,5,0.95,0.75
13,2040,2,4,5,0.95,0.75
14,2040,2,4,5,0.95,0.75
15,2040,2,4,5,0.95,0.75
16,2040,2,4,5,0.95,0.75
17,2040,2,4,5,0.95,0.75
18,2040,2,4,5,0.95,0.75
19,2040,2,4,5,0.95,0.75
20,2040,2,4,5,0.95,0.75
1,2045,2,4,5,0.95,0.75
2,2045,2,4,5,0.95,0.75
3,2045,2,4,5,0.95,0.75
4,2045,2,4,5,0.95,0.75
5,2045,2,4,5,0.95,0.75
6,2045,2,4,5,0.95,0.75
7,2045,2,4,5,0.95,0.75
8,2045,2,4,5,0.95,0.75
9,2045,2,4,5,0.95,0.75
10,2045,2,4,5,0.95,0.75
11,2045,2,4,5,0.95,0.75
12,2045,2,4,5,0.95,0.75
13,2045,2,4,5,0.95,0.75
14,2045,2,4,5,0.95,0.75
