Geo,Year,PropSFChargingAvail,PropMFChargingAvail,PropGQChargingAvail
1,2005,0.65,0,0
2,2005,0.65,0,0
3,2005,0.65,0,0
4,2005,0.65,0,0
5,2005,0.65,0,0
6,2005,0.65,0,0
7,2005,0.65,0,0
8,2005,0.65,0,0
9,2005,0.65,0,0
10,2005,0.65,0,0
11,2005,0.65,0,0
12,2005,0.65,0,0
13,2005,0.65,0,0
14,2005,0.65,0,0
15,2005,0.65,0,0
16,2005,0.65,0,0
17,2005,0.65,0,0
18,2005,0.65,0,0
19,2005,0.65,0,0
20,2005,0.65,0,0
1,2010,0.75,0,0
2,2010,0.75,0,0
3,2010,0.75,0,0
4,2010,0.75,0,0
5,2010,0.75,0,0
6,2010,0.75,0,0
7,2010,0.75,0,0
8,2010,0.75,0,0
9,2010,0.75,0,0
10,2010,0.75,0,0
11,2010,0.75,0,0
12,2010,0.75,0,0
13,2010,0.75,0,0
14,2010,0.75,0,0
15,2010,0.75,0,0
16,2010,0.75,0,0
17,2010,0.75,0,0
18,2010,0.75,0,0
19,2010,0.75,0,0
20,2010,0.75,0,0
1,2020,0.875,0.016,0.038285714
2,2020,0.875,0.016,0.038285714
3,2020,0.875,0.016,0.038285714
4,2020,0.875,0.016,0.038285714
5,2020,0.875,0.016,0.038285714
6,2020,0.875,0.016,0.038285714
7,2020,0.875,0.016,0.038285714
8,2020,0.875,0.016,0.038285714
9,2020,0.875,0.016,0.038285714
10,2020,0.875,0.016,0.038285714
11,2020,0.875,0.016,0.038285714
12,2020,0.875,0.016,0.038285714
13,2020,0.875,0.016,0.038285714
14,2020,0.875,0.016,0.038285714
15,2020,0.875,0.016,0.038285714
16,2020,0.875,0.016,0.038285714
17,2020,0.875,0.016,0.038285714
18,2020,0.875,0.016,0.038285714
19,2020,0.875,0.016,0.038285714
20,2020,0.875,0.016,0.038285714
1,2025,0.9,0.03,0.073571429
2,2025,0.9,0.03,0.073571429
3,2025,0.9,0.03,0.073571429
4,2025,0.9,0.03,0.073571429
5,2025,0.9,0.03,0.073571429
6,2025,0.9,0.03,0.073571429
7,2025,0.9,0.03,0.073571429
8,2025,0.9,0.03,0.073571429
9,2025,0.9,0.03,0.073571429
10,2025,0.9,0.03,0.073571429
11,2025,0.9,0.03,0.073571429
12,2025,0.9,0.03,0.073571429
13,2025,0.9,0.03,0.073571429
14,2025,0.9,0.03,0.073571429
15,2025,0.9,0.03,0.073571429
16,2025,0.9,0.03,0.073571429
17,2025,0.9,0.03,0.073571429
18,2025,0.9,0.03,0.073571429
19,2025,0.9,0.03,0.073571429
20,2025,0.9,0.03,0.073571429
1,2030,0.925,0.044,0.108857143
2,2030,0.925,0.044,0.108857143
3,2030,0.925,0.044,0.108857143
4,2030,0.925,0.044,0.108857143
5,2030,0.925,0.044,0.108857143
6,2030,0.925,0.044,0.108857143
7,2030,0.925,0.044,0.108857143
8,2030,0.925,0.044,0.108857143
9,2030,0.925,0.044,0.108857143
10,2030,0.925,0.044,0.108857143
11,2030,0.925,0.044,0.108857143
12,2030,0.925,0.044,0.108857143
13,2030,0.925,0.044,0.108857143
14,2030,0.925,0.044,0.108857143
15,2030,0.925,0.044,0.108857143
16,2030,0.925,0.044,0.108857143
17,2030,0.925,0.044,0.108857143
18,2030,0.925,0.044,0.108857143
19,2030,0.925,0.044,0.108857143
20,2030,0.925,0.044,0.108857143
1,2035,0.95,0.058,0.144142857
2,2035,0.95,0.058,0.144142857
3,2035,0.95,0.058,0.144142857
4,2035,0.95,0.058,0.144142857
5,2035,0.95,0.058,0.144142857
6,2035,0.95,0.058,0.144142857
7,2035,0.95,0.058,0.144142857
8,2035,0.95,0.058,0.144142857
9,2035,0.95,0.058,0.144142857
10,2035,0.95,0.058,0.144142857
11,2035,0.95,0.058,0.144142857
12,2035,0.95,0.058,0.144142857
13,2035,0.95,0.058,0.144142857
14,2035,0.95,0.058,0.144142857
15,2035,0.95,0.058,0.144142857
16,2035,0.95,0.058,0.144142857
17,2035,0.95,0.058,0.144142857
18,2035,0.95,0.058,0.144142857
19,2035,0.95,0.058,0.144142857
20,2035,0.95,0.058,0.144142857
1,2040,0.95,0.072,0.179428571
2,2040,0.95,0.072,0.179428571
3,2040,0.95,0.072,0.179428571
4,2040,0.95,0.072,0.179428571
5,2040,0.95,0.072,0.179428571
6,2040,0.95,0.072,0.179428571
7,2040,0.95,0.072,0.179428571
8,2040,0.95,0.072,0.179428571
9,2040,0.95,0.072,0.179428571
10,2040,0.95,0.072,0.179428571
11,2040,0.95,0.072,0.179428571
12,2040,0.95,0.072,0.179428571
13,2040,0.95,0.072,0.179428571
14,2040,0.95,0.072,0.179428571
15,2040,0.95,0.072,0.179428571
16,2040,0.95,0.072,0.179428571
17,2040,0.95,0.072,0.179428571
18,2040,0.95,0.072,0.179428571
19,2040,0.95,0.072,0.179428571
20,2040,0.95,0.072,0.179428571
1,2045,0.95,0.086,0.214714286
2,2045,0.95,0.086,0.214714286
3,2045,0.95,0.086,0.214714286
4,2045,0.95,0.086,0.214714286
5,2045,0.95,0.086,0.214714286
6,2045,0.95,0.086,0.214714286
7,2045,0.95,0.086,0.214714286
8,2045,0.95,0.086,0.214714286
9,2045,0.95,0.086,0.214714286
10,2045,0.95,0.086,0.214714286
11,2045,0.95,0.086,0.214714286
12,2045,0.95,0.086,0.214714286
13,2045,0.95,0.086,0.214714286
14,2045,0.95,0.086,0.214714286
15,2045,0.95,0.086,0.214714286
16,2045,0.95,0.086,0.214714286
17,2045,0.95,0.086,0.214714286
18,2045,0.95,0.086,0.214714286
19,2045,0.95,0.086,0.214714286
20,2045,0.95,0.086,0.214714286
1,2050,0.95,0.1,0.25
2,2050,0.95,0.1,0.25
3,2050,0.95,0.1,0.25
4,2050,0.95,0.1,0.25
5,2050,0.95,0.1,0.25
6,2050,0.95,0.1,0.25
7,2050,0.95,0.1,0.25
8,2050,0.95,0.1,0.25
9,2050,0.95,0.1,0.25
10,2050,0.95,0.1,0.25
11,2050,0.95,0.1,0.25
12,2050,0.95,0.1,0.25
13,2050,0.95,0.1,0.25
14,2050,0.95,0.1,0.25
15,2050,0.95,0.1,0.25
16,2050,0.95,0.1,0.25
17,2050,0.95,0.1,0.25
18,2050,0.95,0.1,0.25
19,2050,0.95,0.1,0.25
20,2050,0.95,0.1,0.25
