Geo,Year,ElectricityCI
1,2005,152.5041864
2,2005,152.5041864
3,2005,152.5041864
4,2005,136.6995863
5,2005,151.2059009
6,2005,152.5041864
7,2005,157.5998877
8,2005,172.4070352
9,2005,201.1000947
10,2005,155.091965
11,2005,159.1217389
12,2005,152.5041864
13,2005,150.3464326
14,2005,126.8584426
15,2005,140.0589118
16,2005,152.5041864
17,2005,152.5041864
18,2005,154.0011353
19,2005,154.0011353
20,2005,154.0011353
1,2010,140.3714521
2,2010,140.3714521
3,2010,140.3714521
4,2010,125.3992465
5,2010,139.1415445
6,2010,140.3714521
7,2010,146.3906081
8,2010,163.8811411
9,2010,197.7740229
10,2010,143.4281938
11,2010,148.1882527
12,2010,140.3714521
13,2010,138.3273426
14,2010,116.2914404
15,2010,128.6248502
16,2010,140.3714521
17,2010,140.3714521
18,2010,142.9439298
19,2010,142.9439298
20,2010,142.9439298
1,2020,116.1059834
2,2020,116.1059834
3,2020,116.1059834
4,2020,102.7985669
5,2020,115.0128317
6,2020,116.1059834
7,2020,123.972049
8,2020,146.8293528
9,2020,191.1218793
10,2020,120.1006516
11,2020,126.3212803
12,2020,116.1059834
13,2020,114.2891625
14,2020,95.15743597
15,2020,105.7567269
16,2020,116.1059834
17,2020,116.1059834
18,2020,120.8295189
19,2020,120.8295189
20,2020,120.8295189
1,2025,104.6059834
2,2025,104.6059834
3,2025,104.6059834
4,2025,91.29856687
5,2025,104.0628317
6,2025,105.1559834
7,2025,113.022049
8,2025,135.8793528
9,2025,180.1718793
10,2025,109.1506516
11,2025,115.3712803
12,2025,105.1559834
13,2025,103.3391625
14,2025,83.70743597
15,2025,94.30672691
16,2025,104.6559834
17,2025,104.6559834
18,2025,109.5295189
19,2025,109.5295189
20,2025,109.5295189
1,2030,93.10598344
2,2030,93.10598344
3,2030,93.10598344
4,2030,79.79856687
5,2030,93.1128317
6,2030,94.20598344
7,2030,102.072049
8,2030,124.9293528
9,2030,169.2218793
10,2030,98.2006516
11,2030,104.4212803
12,2030,94.20598344
13,2030,92.3891625
14,2030,72.25743597
15,2030,82.85672691
16,2030,93.20598344
17,2030,93.20598344
18,2030,98.22951888
19,2030,98.22951888
20,2030,98.22951888
1,2035,81.60598344
2,2035,81.60598344
3,2035,81.60598344
4,2035,68.29856687
5,2035,82.1628317
6,2035,83.25598344
7,2035,91.12204896
8,2035,113.9793528
9,2035,158.2718793
10,2035,87.2506516
11,2035,93.47128032
12,2035,83.25598344
13,2035,81.4391625
14,2035,60.80743597
15,2035,71.40672691
16,2035,81.75598344
17,2035,81.75598344
18,2035,86.92951888
19,2035,86.92951888
20,2035,86.92951888
1,2040,70.10598344
2,2040,70.10598344
3,2040,70.10598344
4,2040,56.79856687
5,2040,71.2128317
6,2040,72.30598344
7,2040,80.17204896
8,2040,103.0293528
9,2040,147.3218793
10,2040,76.3006516
11,2040,82.52128032
12,2040,72.30598344
13,2040,70.4891625
14,2040,49.35743597
15,2040,59.95672691
16,2040,70.30598344
17,2040,70.30598344
18,2040,75.62951888
19,2040,75.62951888
20,2040,75.62951888
1,2045,58.60598344
2,2045,58.60598344
3,2045,58.60598344
4,2045,45.29856687
5,2045,60.2628317
6,2045,61.35598344
7,2045,69.22204896
8,2045,92.07935275
9,2045,136.3718793
10,2045,65.3506516
11,2045,71.57128032
12,2045,61.35598344
13,2045,59.5391625
14,2045,37.90743597
15,2045,48.50672691
16,2045,58.85598344
17,2045,58.85598344
18,2045,64.32951888
19,2045,64.32951888
20,2045,64.32951888
1,2050,47.10598344
2,2050,47.10598344
3,2050,47.10598344
4,2050,33.79856687
5,2050,49.3128317
6,2050,50.40598344
7,2050,58.27204896
8,2050,81.12935275
9,2050,125.4218793
10,2050,54.4006516
11,2050,60.62128032
12,2050,50.40598344
13,2050,48.5891625
14,2050,26.45743597
15,2050,37.05672691
16,2050,47.40598344
17,2050,47.40598344
18,2050,53.02951888
19,2050,53.02951888
20,2050,53.02951888
