Geo,Year,GrpAge0to14,GrpAge15to19,GrpAge20to29,GrpAge30to54,GrpAge55to64,GrpAge65Plus
1,2005,0,0,0,0,0,0
2,2005,0,0,0,0,0,0
3,2005,0,0,0,0,0,0
4,2005,0,0,0,0,0,0
5,2005,0,0,0,0,0,0
6,2005,0,693.9232828,398.0160571,68.76717217,7.293487957,0
7,2005,0,994.544157,570.4442462,98.55842997,10.45316682,0
8,2005,0,1097.919715,629.7377342,108.8028546,11.5396967,0
9,2005,0,279.8269402,160.5013381,27.73059768,2.941123996,0
10,2005,0,575.1008029,329.8626227,56.99197145,6.044603033,0
11,2005,0,0,0,0,0,0
12,2005,0,0,0,0,0,0
13,2005,0,0,0,0,0,0
14,2005,0,0,0,0,0,0
15,2005,0,535.8893845,307.3719893,53.10615522,5.632471008,0
16,2005,0,0,0,0,0,0
17,2005,0,0,0,0,0,0
18,2005,0,0,0,0,0,0
19,2005,0,0,0,0,0,0
20,2005,0,0,0,0,0,0
1,2010,0,0,0,0,0,0
2,2010,0,0,0,0,0,0
3,2010,0,0,0,0,0,0
4,2010,0,0,0,0,0,0
5,2010,0,0,0,0,0,0
6,2010,0,693.9232828,398.0160571,68.76717217,7.293487957,0
7,2010,0,994.544157,570.4442462,98.55842997,10.45316682,0
8,2010,0,1097.919715,629.7377342,108.8028546,11.5396967,0
9,2010,0,279.8269402,160.5013381,27.73059768,2.941123996,0
10,2010,0,575.1008029,329.8626227,56.99197145,6.044603033,0
11,2010,0,0,0,0,0,0
12,2010,0,0,0,0,0,0
13,2010,0,0,0,0,0,0
14,2010,0,0,0,0,0,0
15,2010,0,535.8893845,307.3719893,53.10615522,5.632471008,0
16,2010,0,0,0,0,0,0
17,2010,0,0,0,0,0,0
18,2010,0,0,0,0,0,0
19,2010,0,0,0,0,0,0
20,2010,0,0,0,0,0,0
1,2020,0,0,0,0,0,0
2,2020,0,0,0,0,0,0
3,2020,0,0,0,0,0,0
4,2020,0,0,0,0,0,0
5,2020,0,0,0,0,0,0
6,2020,0,693.9232828,398.0160571,68.76717217,7.293487957,0
7,2020,0,994.544157,570.4442462,98.55842997,10.45316682,0
8,2020,0,1097.919715,629.7377342,108.8028546,11.5396967,0
9,2020,0,279.8269402,160.5013381,27.73059768,2.941123996,0
10,2020,0,575.1008029,329.8626227,56.99197145,6.044603033,0
11,2020,0,0,0,0,0,0
12,2020,0,0,0,0,0,0
13,2020,0,0,0,0,0,0
14,2020,0,0,0,0,0,0
15,2020,0,535.8893845,307.3719893,53.10615522,5.632471008,0
16,2020,0,0,0,0,0,0
17,2020,0,0,0,0,0,0
18,2020,0,0,0,0,0,0
19,2020,0,0,0,0,0,0
20,2020,0,0,0,0,0,0
1,2025,0,0,0,0,0,0
2,2025,0,0,0,0,0,0
3,2025,0,0,0,0,0,0
4,2025,0,0,0,0,0,0
5,2025,0,0,0,0,0,0
6,2025,0,693.9232828,398.0160571,68.76717217,7.293487957,0
7,2025,0,994.544157,570.4442462,98.55842997,10.45316682,0
8,2025,0,1097.919715,629.7377342,108.8028546,11.5396967,0
9,2025,0,279.8269402,160.5013381,27.73059768,2.941123996,0
10,2025,0,575.1008029,329.8626227,56.99197145,6.044603033,0
11,2025,0,0,0,0,0,0
12,2025,0,0,0,0,0,0
13,2025,0,0,0,0,0,0
14,2025,0,0,0,0,0,0
15,2025,0,535.8893845,307.3719893,53.10615522,5.632471008,0
16,2025,0,0,0,0,0,0
17,2025,0,0,0,0,0,0
18,2025,0,0,0,0,0,0
19,2025,0,0,0,0,0,0
20,2025,0,0,0,0,0,0
1,2030,0,0,0,0,0,0
2,2030,0,0,0,0,0,0
3,2030,0,0,0,0,0,0
4,2030,0,0,0,0,0,0
5,2030,0,0,0,0,0,0
