Geo,Year,LtTrkProp
1,2005,0.5
2,2005,0.5
3,2005,0.5
4,2005,0.5
5,2005,0.41
6,2005,0.41
7,2005,0.41
8,2005,0.41
9,2005,0.41
10,2005,0.41
11,2005,0.41
12,2005,0.41
13,2005,0.41
14,2005,0.45
15,2005,0.45
16,2005,0.45
17,2005,0.45
18,2005,0.475
19,2005,0.475
20,2005,0.475
1,2010,0.51
2,2010,0.51
3,2010,0.51
4,2010,0.51
5,2010,0.42
6,2010,0.42
7,2010,0.42
8,2010,0.42
9,2010,0.42
10,2010,0.42
11,2010,0.42
12,2010,0.42
13,2010,0.42
14,2010,0.46
15,2010,0.46
16,2010,0.46
17,2010,0.46
18,2010,0.485
19,2010,0.485
20,2010,0.485
1,2020,0.522505044
2,2020,0.522505044
3,2020,0.522505044
4,2020,0.522505044
5,2020,0.422559575
6,2020,0.422559575
7,2020,0.422559575
8,2020,0.422559575
9,2020,0.422559575
10,2020,0.422559575
11,2020,0.422559575
12,2020,0.422559575
13,2020,0.422559575
14,2020,0.473231343
15,2020,0.473231343
16,2020,0.473231343
17,2020,0.473231343
18,2020,0.497868194
19,2020,0.497868194
20,2020,0.497868194
1,2025,0.522505044
2,2025,0.522505044
3,2025,0.522505044
4,2025,0.522505044
5,2025,0.422559575
6,2025,0.422559575
7,2025,0.422559575
8,2025,0.422559575
9,2025,0.422559575
10,2025,0.422559575
11,2025,0.422559575
12,2025,0.422559575
13,2025,0.422559575
14,2025,0.473231343
15,2025,0.473231343
16,2025,0.473231343
17,2025,0.473231343
18,2025,0.497868194
19,2025,0.497868194
20,2025,0.497868194
1,2030,0.522505044
2,2030,0.522505044
3,2030,0.522505044
4,2030,0.522505044
5,2030,0.422559575
6,2030,0.422559575
7,2030,0.422559575
8,2030,0.422559575
9,2030,0.422559575
10,2030,0.422559575
11,2030,0.422559575
12,2030,0.422559575
13,2030,0.422559575
14,2030,0.473231343
15,2030,0.473231343
16,2030,0.473231343
17,2030,0.473231343
18,2030,0.497868194
19,2030,0.497868194
20,2030,0.497868194
1,2035,0.522505044
2,2035,0.522505044
3,2035,0.522505044
4,2035,0.522505044
5,2035,0.422559575
6,2035,0.422559575
7,2035,0.422559575
8,2035,0.422559575
9,2035,0.422559575
10,2035,0.422559575
11,2035,0.422559575
12,2035,0.422559575
13,2035,0.422559575
14,2035,0.473231343
15,2035,0.473231343
16,2035,0.473231343
17,2035,0.473231343
18,2035,0.497868194
19,2035,0.497868194
20,2035,0.497868194
1,2040,0.522505044
2,2040,0.522505044
3,2040,0.522505044
4,2040,0.522505044
5,2040,0.422559575
6,2040,0.422559575
7,2040,0.422559575
8,2040,0.422559575
9,2040,0.422559575
10,2040,0.422559575
11,2040,0.422559575
12,2040,0.422559575
13,2040,0.422559575
14,2040,0.473231343
15,2040,0.473231343
16,2040,0.473231343
17,2040,0.473231343
18,2040,0.497868194
19,2040,0.497868194
20,2040,0.497868194
1,2045,0.522505044
2,2045,0.522505044
3,2045,0.522505044
4,2045,0.522505044
5,2045,0.422559575
6,2045,0.422559575
7,2045,0.422559575
8,2045,0.422559575
9,2045,0.422559575
10,2045,0.422559575
11,2045,0.422559575
12,2045,0.422559575
13,2045,0.422559575
14,2045,0.473231343
15,2045,0.473231343
16,2045,0.473231343
17,2045,0.473231343
18,2045,0.497868194
19,2045,0.497868194
20,2045,0.497868194
1,2050,0.522505044
2,2050,0.522505044
3,2050,0.522505044
4,2050,0.522505044
5,2050,0.422559575
6,2050,0.422559575
7,2050,0.422559575
8,2050,0.422559575
9,2050,0.422559575
10,2050,0.422559575
11,2050,0.422559575
12,2050,0.422559575
13,2050,0.422559575
14,2050,0.473231343
15,2050,0.473231343
16,2050,0.473231343
17,2050,0.473231343
18,2050,0.497868194
19,2050,0.497868194
20,2050,0.497868194
