Geo,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
1,2005,25473,9707,13602,48596,15176,15795
2,2005,15062,4975,10148,27711,9240,11809
3,2005,11469,4495,6278,19841,5641,5955
4,2005,19921,6800,9808,33810,11964,14020
5,2005,3831,1019,1338,8820,2576,2416
6,2005,11020,2922,10206,25165,8753,8086
7,2005,10833,2077,9508,24037,5285,4495
8,2005,2177,544,10815,14609,3704,3750
9,2005,18832,5082,14771,44053,9488,8858
10,2005,25656,7232,28520,67739,14261,14789
11,2005,33129,9778,22884,52670,12999,17681
12,2005,18540,6853,13133,30225,7932,8502
13,2005,2959,1236,1648,5511,2027,1865
14,2005,6209,2084,2630,11895,3713,3807
15,2005,37403,10166,24559,56510,12290,12199
16,2005,38828,11134,24078,69123,15725,17000
17,2005,26328,8689,16337,50149,11753,14239
18,2005,12230,3972,7052,22455,6547,7524
19,2005,20225,6155,14199,33925,9221,12074
20,2005,56250,18013,26647,84473,22777,23454
1,2010,25179,9817,13748,48240,19467,17130
2,2010,14400,4867,9921,26607,11466,12387
3,2010,12151,4873,6801,21112,7757,6923
4,2010,19647,6861,9891,33488,15314,15171
5,2010,4135,1125,1477,9558,3608,2860
6,2010,10693,2901,10127,24521,11022,8608
7,2010,10706,2100,9608,23856,6778,4874
8,2010,2407,616,12227,16222,5315,4549
9,2010,18198,5025,14596,42751,11898,9392
10,2010,25244,7280,28695,66935,18210,15965
11,2010,33848,10221,23909,54044,17237,19821
12,2010,19046,7202,13796,31181,10575,9582
13,2010,2957,1264,1684,5530,2628,2045
14,2010,6272,2154,2716,12067,4868,4219
15,2010,39037,10855,26211,59231,16647,13969
16,2010,39711,11651,25182,70997,20871,19076
17,2010,27151,9167,17228,51937,15729,16111
18,2010,12451,4137,7342,22960,8650,8405
19,2010,20436,6363,14671,34425,12092,13385
20,2010,59698,19561,28919,90035,31372,27311
1,2015,28125,11384,15525,52920,20456,21140
2,2015,15298,5367,10654,27758,11458,14538
3,2015,13851,5766,7837,23633,8317,8718
4,2015,20629,7479,10499,34532,15126,17600
5,2015,4060,1147,1466,9218,3333,3104
6,2015,11913,3355,11405,26829,11551,10596
7,2015,11856,2414,10756,25945,7060,5963
8,2015,3095,822,15894,20485,6429,6462
9,2015,19699,5646,15972,45448,12116,11232
10,2015,26550,7948,30509,69137,18017,18551
11,2015,35529,11138,25370,55713,17020,22986
12,2015,20311,7973,14874,32657,10609,11290
13,2015,2964,1315,1706,5444,2478,2265
14,2015,6847,2441,2998,12938,4999,5089
15,2015,44039,12713,29892,65625,17666,17410
16,2015,44176,13454,28318,77564,21841,23444
17,2015,29232,10246,18751,54916,15930,19164
18,2015,13472,4647,8030,24396,8804,10047
19,2015,21820,7053,15835,36098,12144,15789
20,2015,63305,21532,31000,93764,31294,31997
1,2020,29533,12095,16789,55916,23020,26006
2,2020,14885,5284,10677,27178,11948,16572
3,2020,15291,6441,8911,26253,9840,11275
4,2020,20544,7536,10768,34604,16143,20533
5,2020,4251,1215,1581,9713,3741,3807
6,2020,12466,3552,12291,28251,12955,12990
7,2020,12267,2528,11462,27012,7829,7228
8,2020,3634,976,19216,24197,8089,8886
9,2020,19819,5748,16551,46012,13064,13239
10,2020,27166,8229,32151,71185,19757,22237
11,2020,34820,11044,25607,54941,17876,26391
12,2020,20507,8146,15466,33179,11479,13355
13,2020,3079,1383,1826,5692,2759,2757
14,2020,9208,3322,4152,17509,7206,8018
15,2020,45764,13367,31991,68621,19675,21196
16,2020,44439,13694,29338,78514,23546,27630
17,2020,30721,10895,20295,58074,17942,23594
18,2020,14984,5229,9199,27304,10494,13091
19,2020,21187,6929,15836,35271,12638,17962
20,2020,66797,22988,33688,99555,35388,39552
1,2025,31177,12763,17789,59356,25029,31486
2,2025,14616,5187,10523,26836,12083,18664
3,2025,16681,7024,9756,28798,11056,14107
4,2025,20622,7562,10849,34929,16690,23638
5,2025,4458,1274,1664,10242,4040,4579
6,2025,13016,3708,12881,29662,13932,15555
7,2025,12634,2603,11849,27976,8305,8538
8,2025,4219,1133,22395,28253,9674,11834
9,2025,20023,5805,16782,46743,13593,15340
10,2025,27806,8420,33029,73264,20827,26104
11,2025,34325,10883,25336,54460,18150,29837
12,2025,20860,8283,15790,33936,12026,15579
13,2025,3221,1445,1916,5986,2972,3307
14,2025,11589,4179,5245,22156,9340,11572
15,2025,47636,13909,33422,71823,21092,25303
16,2025,45026,13870,29835,79991,24571,32106
17,2025,32343,11466,21446,61480,19455,28489
18,2025,16524,5765,10182,30278,11919,16557
19,2025,20747,6783,15563,34729,12746,20171
20,2025,70480,24247,35677,105627,38457,47864
1,2030,31807,12982,18034,60843,25827,35750
2,2030,14180,5017,10144,26157,11856,20150
3,2030,17623,7398,10243,30570,11814,16587
4,2030,20502,7495,10718,34890,16782,26154
5,2030,4577,1304,1697,10564,4195,5231
6,2030,13446,3819,13222,30785,14555,17883
7,2030,13028,2676,12141,28985,8662,9798
8,2030,4665,1248,24603,31383,10817,14561
9,2030,20200,5838,16824,47378,13870,17222
10,2030,28496,8603,33635,75437,21588,29773
11,2030,33646,10636,24678,53636,17994,32549
12,2030,20920,8281,15736,34195,12199,17389
13,2030,3322,1486,1964,6203,3101,3796
14,2030,13283,4776,5974,25516,10827,14762
15,2030,48680,14171,33940,73746,21801,28778
16,2030,44796,13758,29496,79960,24726,35550
17,2030,33077,11691,21794,63173,20124,32426
18,2030,17353,6036,10625,31947,12660,19351
19,2030,20229,6593,15079,34022,12569,21889
20,2030,71961,24682,36197,108357,39714,54388
1,2035,32435,13215,18225,62319,26596,39656
2,2035,13874,4900,9837,25708,11715,21447
3,2035,18637,7811,10735,32472,12617,19081
4,2035,20600,7518,10673,35212,17029,28586
5,2035,4707,1339,1730,10914,4357,5852
6,2035,13952,3956,13597,32086,15252,20185
7,2035,13549,2778,12514,30279,9097,11085
8,2035,5049,1349,26389,34117,11822,17143
9,2035,20590,5941,16996,48510,14277,19096
10,2035,29401,8860,34392,78179,22492,33414
11,2035,33603,10604,24426,53806,18148,35362
12,2035,21116,8344,15741,34670,12434,19093
13,2035,3430,1532,2010,6435,3234,4264
14,2035,14855,5332,6621,28662,12228,17957
