Geo,Year,AveHhSize,Prop1PerHh
1,2005,2.562418217,0.22890636
2,2005,2.438987859,0.277989699
3,2005,2.694044708,0.211160468
4,2005,2.705547095,0.200029165
5,2005,2.239479559,0.315813474
6,2005,2.194263782,0.322382815
7,2005,2.463175065,0.295410668
8,2005,1.45106517,0.667770545
9,2005,2.430220087,0.291752622
10,2005,2.282300883,0.328082572
11,2005,2.688302218,0.2614083
12,2005,2.677945941,0.232515598
13,2005,2.768027627,0.172836738
14,2005,2.821399374,0.165904802
15,2005,2.758242792,0.230447429
16,2005,2.535225893,0.26265955
17,2005,2.490854354,0.267994416
18,2005,2.528289347,0.258209724
19,2005,2.46444991,0.291567354
20,2005,2.828937764,0.182488913
1,2010,2.519297653,0.243295601
2,2010,2.413568788,0.288060606
3,2010,2.7096014,0.216025816
4,2010,2.657793686,0.21003776
5,2010,2.378314465,0.257704403
6,2010,2.198795974,0.315661201
7,2010,2.41867446,0.298320392
8,2010,1.498876911,0.635541089
9,2010,2.391526978,0.291834677
10,2010,2.27440995,0.324236602
11,2010,2.725470773,0.264034715
12,2010,2.667465662,0.241822838
13,2010,2.689525665,0.200237168
14,2010,2.777935401,0.170542636
15,2010,2.74561526,0.234151894
16,2010,2.54169092,0.261634499
17,2010,2.492382173,0.27178013
18,2010,2.519494315,0.262829623
19,2010,2.441808293,0.302457103
20,2010,2.816727915,0.189663867
1,2015,2.677087904,0.243990546
2,2015,2.540406441,0.277207372
3,2015,2.892902011,0.188964676
4,2015,2.753109138,0.19203947
5,2015,2.278812664,0.346733656
6,2015,2.371891508,0.307411984
7,2015,2.489186331,0.2903302
8,2015,1.49590151,0.633525283
9,2015,2.461735467,0.290917195
10,2015,2.308601498,0.327121976
11,2015,2.75869604,0.256732107
12,2015,2.773441421,0.23036884
13,2015,2.792080959,0.201976063
14,2015,2.831762696,0.167064929
15,2015,2.854179286,0.217778601
16,2015,2.70028322,0.247005303
17,2015,2.606535507,0.273799798
18,2015,2.636831086,0.254225765
19,2015,2.511826394,0.29397185
20,2015,2.897958677,0.193150357
1,2020,2.732254137,0.232730018
2,2020,2.496119954,0.288117858
3,2020,2.832860215,0.194114214
4,2020,2.727152369,0.196033578
5,2020,2.262535182,0.332657213
6,2020,2.296557532,0.323641056
7,2020,2.369013469,0.32921622
8,2020,1.550910673,0.606402609
9,2020,2.388454607,0.309398431
10,2020,2.221555058,0.356007841
11,2020,2.664535631,0.284263063
12,2020,2.753138787,0.238108861
13,2020,2.825840716,0.195470434
14,2020,2.892747525,0.160681637
15,2020,2.796976078,0.234615607
16,2020,2.682770743,0.250952513
17,2020,2.595033626,0.275166272
18,2020,2.639176606,0.253217706
19,2020,2.454128883,0.315962503
20,2020,2.862893713,0.200959749
1,2025,2.78742037,0.221469491
2,2025,2.451833468,0.299028344
3,2025,2.772818419,0.199263752
4,2025,2.7011956,0.200027685
5,2025,2.2462577,0.318580771
6,2025,2.221223555,0.339870128
7,2025,2.248840607,0.36810224
8,2025,1.605919836,0.579279934
9,2025,2.315173748,0.327879666
10,2025,2.134508617,0.384893706
11,2025,2.570375222,0.31179402
12,2025,2.732836153,0.245848881
13,2025,2.859600472,0.188964805
14,2025,2.953732353,0.154298346
15,2025,2.739772869,0.251452613
16,2025,2.665258267,0.254899724
17,2025,2.583531745,0.276532746
18,2025,2.641522127,0.252209647
19,2025,2.396431372,0.337953156
20,2025,2.827828748,0.208769142
1,2030,2.763555836,0.217872201
2,2030,2.390226307,0.302610441
3,2030,2.685716144,0.200941333
4,2030,2.644005563,0.201066016
5,2030,2.204757183,0.316336227
6,2030,2.155322242,0.345343341
7,2030,2.165317114,0.377377645
8,2030,1.621925498,0.573235357
9,2030,2.248833536,0.33290458
10,2030,2.073175243,0.391987919
11,2030,2.466067299,0.321553759
12,2030,2.681257039,0.245529086
13,2030,2.84823493,0.186104634
14,2030,2.905622586,0.153934077
15,2030,2.656659786,0.255770632
16,2030,2.600942749,0.256324663
17,2030,2.520039761,0.278474549
18,2030,2.599047682,0.250474895
19,2030,2.332034761,0.343506547
20,2030,2.756976133,0.210369011
1,2035,2.751623569,0.214274911
2,2035,2.359422726,0.306192539
3,2035,2.642165006,0.202618913
4,2035,2.615410544,0.202104346
5,2035,2.184006925,0.314091683
6,2035,2.122371585,0.350816553
7,2035,2.123555367,0.38665305
8,2035,1.629928329,0.56719078
9,2035,2.21566343,0.337929493
10,2035,2.042508556,0.399082132
11,2035,2.413913337,0.331313499
12,2035,2.655467481,0.24520929
13,2035,2.842552159,0.183244464
14,2035,2.881567703,0.153569809
15,2035,2.615103244,0.260088651
16,2035,2.568784991,0.257749603
17,2035,2.488293769,0.280416352
18,2035,2.577810459,0.248740143
19,2035,2.299836455,0.349059939
20,2035,2.721549825,0.21196888
1,2040,2.741642291,0.210677621
2,2040,2.35182903,0.309774637
