Geo,Year,PaydHhProp
1,2005,0
2,2005,0
3,2005,0
4,2005,0
5,2005,0
6,2005,0
7,2005,0
8,2005,0
9,2005,0
10,2005,0
11,2005,0
12,2005,0
13,2005,0
14,2005,0
15,2005,0
16,2005,0
17,2005,0
18,2005,0
19,2005,0
20,2005,0
1,2010,0
2,2010,0
3,2010,0
4,2010,0
5,2010,0
6,2010,0
7,2010,0
8,2010,0
9,2010,0
10,2010,0
11,2010,0
12,2010,0
13,2010,0
14,2010,0
15,2010,0
16,2010,0
17,2010,0
18,2010,0
19,2010,0
20,2010,0
1,2020,0.06
2,2020,0.06
3,2020,0.06
4,2020,0.06
5,2020,0.06
6,2020,0.06
7,2020,0.06
8,2020,0.06
9,2020,0.06
10,2020,0.06
11,2020,0.06
12,2020,0.06
13,2020,0.06
14,2020,0.06
15,2020,0.06
16,2020,0.06
17,2020,0.06
18,2020,0.06
19,2020,0.06
20,2020,0.06
1,2025,0.08
2,2025,0.08
3,2025,0.08
4,2025,0.08
5,2025,0.08
6,2025,0.08
7,2025,0.08
8,2025,0.08
9,2025,0.08
10,2025,0.08
11,2025,0.08
12,2025,0.08
13,2025,0.08
14,2025,0.08
15,2025,0.08
16,2025,0.08
17,2025,0.08
18,2025,0.08
19,2025,0.08
20,2025,0.08
1,2030,0.1
2,2030,0.1
3,2030,0.1
4,2030,0.1
5,2030,0.1
6,2030,0.1
7,2030,0.1
8,2030,0.1
9,2030,0.1
10,2030,0.1
11,2030,0.1
12,2030,0.1
13,2030,0.1
14,2030,0.1
15,2030,0.1
16,2030,0.1
17,2030,0.1
18,2030,0.1
19,2030,0.1
20,2030,0.1
1,2035,0.12
2,2035,0.12
3,2035,0.12
4,2035,0.12
5,2035,0.12
6,2035,0.12
7,2035,0.12
8,2035,0.12
9,2035,0.12
10,2035,0.12
11,2035,0.12
12,2035,0.12
13,2035,0.12
14,2035,0.12
15,2035,0.12
16,2035,0.12
17,2035,0.12
18,2035,0.12
19,2035,0.12
20,2035,0.12
1,2040,0.14
2,2040,0.14
3,2040,0.14
4,2040,0.14
5,2040,0.14
6,2040,0.14
7,2040,0.14
8,2040,0.14
9,2040,0.14
10,2040,0.14
11,2040,0.14
12,2040,0.14
13,2040,0.14
14,2040,0.14
15,2040,0.14
16,2040,0.14
17,2040,0.14
18,2040,0.14
19,2040,0.14
20,2040,0.14
1,2045,0.16
2,2045,0.16
3,2045,0.16
4,2045,0.16
5,2045,0.16
6,2045,0.16
7,2045,0.16
8,2045,0.16
9,2045,0.16
10,2045,0.16
11,2045,0.16
12,2045,0.16
13,2045,0.16
14,2045,0.16
15,2045,0.16
16,2045,0.16
17,2045,0.16
18,2045,0.16
19,2045,0.16
20,2045,0.16
1,2050,0.18
2,2050,0.18
3,2050,0.18
4,2050,0.18
5,2050,0.18
6,2050,0.18
7,2050,0.18
8,2050,0.18
9,2050,0.18
10,2050,0.18
11,2050,0.18
12,2050,0.18
13,2050,0.18
14,2050,0.18
15,2050,0.18
16,2050,0.18
17,2050,0.18
18,2050,0.18
19,2050,0.18
20,2050,0.18
