Geo,Year,RelEmp15to19,RelEmp20to29,RelEmp30to54,RelEmp55to64,RelEmp65Plus
1,2005,1.0784,1.0784,1.0784,1.0784,1.0784
2,2005,1.0784,1.0784,1.0784,1.0784,1.0784
3,2005,1.0784,1.0784,1.0784,1.0784,1.0784
4,2005,1.0784,1.0784,1.0784,1.0784,1.0784
5,2005,1.0784,1.0784,1.0784,1.0784,1.0784
6,2005,1.0784,1.0784,1.0784,1.0784,1.0784
7,2005,1.0784,1.0784,1.0784,1.0784,1.0784
8,2005,1.0784,1.0784,1.0784,1.0784,1.0784
9,2005,1.0784,1.0784,1.0784,1.0784,1.0784
10,2005,1.0784,1.0784,1.0784,1.0784,1.0784
11,2005,1.0784,1.0784,1.0784,1.0784,1.0784
12,2005,1.0784,1.0784,1.0784,1.0784,1.0784
13,2005,1.0784,1.0784,1.0784,1.0784,1.0784
14,2005,1.0784,1.0784,1.0784,1.0784,1.0784
15,2005,1.0784,1.0784,1.0784,1.0784,1.0784
16,2005,1.0784,1.0784,1.0784,1.0784,1.0784
17,2005,1.0784,1.0784,1.0784,1.0784,1.0784
18,2005,1.0784,1.0784,1.0784,1.0784,1.0784
19,2005,1.0784,1.0784,1.0784,1.0784,1.0784
20,2005,1.0784,1.0784,1.0784,1.0784,1.0784
1,2010,1,1,1,1,1
2,2010,1,1,1,1,1
3,2010,1,1,1,1,1
4,2010,1,1,1,1,1
5,2010,1,1,1,1,1
6,2010,1,1,1,1,1
7,2010,1,1,1,1,1
8,2010,1,1,1,1,1
9,2010,1,1,1,1,1
10,2010,1,1,1,1,1
11,2010,1,1,1,1,1
12,2010,1,1,1,1,1
13,2010,1,1,1,1,1
14,2010,1,1,1,1,1
15,2010,1,1,1,1,1
16,2010,1,1,1,1,1
17,2010,1,1,1,1,1
18,2010,1,1,1,1,1
19,2010,1,1,1,1,1
20,2010,1,1,1,1,1
1,2020,1.0784,1.0784,1.0784,1.0784,1.0784
2,2020,1.0784,1.0784,1.0784,1.0784,1.0784
3,2020,1.0784,1.0784,1.0784,1.0784,1.0784
4,2020,1.0784,1.0784,1.0784,1.0784,1.0784
5,2020,1.0784,1.0784,1.0784,1.0784,1.0784
6,2020,1.0784,1.0784,1.0784,1.0784,1.0784
7,2020,1.0784,1.0784,1.0784,1.0784,1.0784
8,2020,1.0784,1.0784,1.0784,1.0784,1.0784
9,2020,1.0784,1.0784,1.0784,1.0784,1.0784
10,2020,1.0784,1.0784,1.0784,1.0784,1.0784
11,2020,1.0784,1.0784,1.0784,1.0784,1.0784
12,2020,1.0784,1.0784,1.0784,1.0784,1.0784
13,2020,1.0784,1.0784,1.0784,1.0784,1.0784
14,2020,1.0784,1.0784,1.0784,1.0784,1.0784
15,2020,1.0784,1.0784,1.0784,1.0784,1.0784
16,2020,1.0784,1.0784,1.0784,1.0784,1.0784
17,2020,1.0784,1.0784,1.0784,1.0784,1.0784
18,2020,1.0784,1.0784,1.0784,1.0784,1.0784
19,2020,1.0784,1.0784,1.0784,1.0784,1.0784
20,2020,1.0784,1.0784,1.0784,1.0784,1.0784
1,2025,1.0784,1.0784,1.0784,1.0784,1.0784
2,2025,1.0784,1.0784,1.0784,1.0784,1.0784
3,2025,1.0784,1.0784,1.0784,1.0784,1.0784
4,2025,1.0784,1.0784,1.0784,1.0784,1.0784
5,2025,1.0784,1.0784,1.0784,1.0784,1.0784
6,2025,1.0784,1.0784,1.0784,1.0784,1.0784
7,2025,1.0784,1.0784,1.0784,1.0784,1.0784
8,2025,1.0784,1.0784,1.0784,1.0784,1.0784
9,2025,1.0784,1.0784,1.0784,1.0784,1.0784
10,2025,1.0784,1.0784,1.0784,1.0784,1.0784
11,2025,1.0784,1.0784,1.0784,1.0784,1.0784
12,2025,1.0784,1.0784,1.0784,1.0784,1.0784
13,2025,1.0784,1.0784,1.0784,1.0784,1.0784
14,2025,1.0784,1.0784,1.0784,1.0784,1.0784
15,2025,1.0784,1.0784,1.0784,1.0784,1.0784
16,2025,1.0784,1.0784,1.0784,1.0784,1.0784
17,2025,1.0784,1.0784,1.0784,1.0784,1.0784
18,2025,1.0784,1.0784,1.0784,1.0784,1.0784
19,2025,1.0784,1.0784,1.0784,1.0784,1.0784
20,2025,1.0784,1.0784,1.0784,1.0784,1.0784
1,2030,1.0784,1.0784,1.0784,1.0784,1.0784
2,2030,1.0784,1.0784,1.0784,1.0784,1.0784
3,2030,1.0784,1.0784,1.0784,1.0784,1.0784
4,2030,1.0784,1.0784,1.0784,1.0784,1.0784
5,2030,1.0784,1.0784,1.0784,1.0784,1.0784
6,2030,1.0784,1.0784,1.0784,1.0784,1.0784
7,2030,1.0784,1.0784,1.0784,1.0784,1.0784
8,2030,1.0784,1.0784,1.0784,1.0784,1.0784
9,2030,1.0784,1.0784,1.0784,1.0784,1.0784
10,2030,1.0784,1.0784,1.0784,1.0784,1.0784
11,2030,1.0784,1.0784,1.0784,1.0784,1.0784
12,2030,1.0784,1.0784,1.0784,1.0784,1.0784
13,2030,1.0784,1.0784,1.0784,1.0784,1.0784
14,2030,1.0784,1.0784,1.0784,1.0784,1.0784
15,2030,1.0784,1.0784,1.0784,1.0784,1.0784
16,2030,1.0784,1.0784,1.0784,1.0784,1.0784
17,2030,1.0784,1.0784,1.0784,1.0784,1.0784
18,2030,1.0784,1.0784,1.0784,1.0784,1.0784
19,2030,1.0784,1.0784,1.0784,1.0784,1.0784
20,2030,1.0784,1.0784,1.0784,1.0784,1.0784
1,2035,1.0784,1.0784,1.0784,1.0784,1.0784
2,2035,1.0784,1.0784,1.0784,1.0784,1.0784
3,2035,1.0784,1.0784,1.0784,1.0784,1.0784
4,2035,1.0784,1.0784,1.0784,1.0784,1.0784
5,2035,1.0784,1.0784,1.0784,1.0784,1.0784
6,2035,1.0784,1.0784,1.0784,1.0784,1.0784
7,2035,1.0784,1.0784,1.0784,1.0784,1.0784
8,2035,1.0784,1.0784,1.0784,1.0784,1.0784
9,2035,1.0784,1.0784,1.0784,1.0784,1.0784
10,2035,1.0784,1.0784,1.0784,1.0784,1.0784
11,2035,1.0784,1.0784,1.0784,1.0784,1.0784
12,2035,1.0784,1.0784,1.0784,1.0784,1.0784
13,2035,1.0784,1.0784,1.0784,1.0784,1.0784
14,2035,1.0784,1.0784,1.0784,1.0784,1.0784
15,2035,1.0784,1.0784,1.0784,1.0784,1.0784
16,2035,1.0784,1.0784,1.0784,1.0784,1.0784
17,2035,1.0784,1.0784,1.0784,1.0784,1.0784
18,2035,1.0784,1.0784,1.0784,1.0784,1.0784
19,2035,1.0784,1.0784,1.0784,1.0784,1.0784
20,2035,1.0784,1.0784,1.0784,1.0784,1.0784
1,2040,1.0784,1.0784,1.0784,1.0784,1.0784
2,2040,1.0784,1.0784,1.0784,1.0784,1.0784
3,2040,1.0784,1.0784,1.0784,1.0784,1.0784
4,2040,1.0784,1.0784,1.0784,1.0784,1.0784
5,2040,1.0784,1.0784,1.0784,1.0784,1.0784
6,2040,1.0784,1.0784,1.0784,1.0784,1.0784
7,2040,1.0784,1.0784,1.0784,1.0784,1.0784
8,2040,1.0784,1.0784,1.0784,1.0784,1.0784
9,2040,1.0784,1.0784,1.0784,1.0784,1.0784
10,2040,1.0784,1.0784,1.0784,1.0784,1.0784
11,2040,1.0784,1.0784,1.0784,1.0784,1.0784
12,2040,1.0784,1.0784,1.0784,1.0784,1.0784
13,2040,1.0784,1.0784,1.0784,1.0784,1.0784
14,2040,1.0784,1.0784,1.0784,1.0784,1.0784
15,2040,1.0784,1.0784,1.0784,1.0784,1.0784
16,2040,1.0784,1.0784,1.0784,1.0784,1.0784
17,2040,1.0784,1.0784,1.0784,1.0784,1.0784
18,2040,1.0784,1.0784,1.0784,1.0784,1.0784
19,2040,1.0784,1.0784,1.0784,1.0784,1.0784
20,2040,1.0784,1.0784,1.0784,1.0784,1.0784
1,2045,1.0784,1.0784,1.0784,1.0784,1.0784
2,2045,1.0784,1.0784,1.0784,1.0784,1.0784
3,2045,1.0784,1.0784,1.0784,1.0784,1.0784
4,2045,1.0784,1.0784,1.0784,1.0784,1.0784
5,2045,1.0784,1.0784,1.0784,1.0784,1.0784
6,2045,1.0784,1.0784,1.0784,1.0784,1.0784
7,2045,1.0784,1.0784,1.0784,1.0784,1.0784
8,2045,1.0784,1.0784,1.0784,1.0784,1.0784
9,2045,1.0784,1.0784,1.0784,1.0784,1.0784
10,2045,1.0784,1.0784,1.0784,1.0784,1.0784
11,2045,1.0784,1.0784,1.0784,1.0784,1.0784
12,2045,1.0784,1.0784,1.0784,1.0784,1.0784
13,2045,1.0784,1.0784,1.0784,1.0784,1.0784
14,2045,1.0784,1.0784,1.0784,1.0784,1.0784
15,2045,1.0784,1.0784,1.0784,1.0784,1.0784
16,2045,1.0784,1.0784,1.0784,1.0784,1.0784
17,2045,1.0784,1.0784,1.0784,1.0784,1.0784
18,2045,1.0784,1.0784,1.0784,1.0784,1.0784
19,2045,1.0784,1.0784,1.0784,1.0784,1.0784
20,2045,1.0784,1.0784,1.0784,1.0784,1.0784
1,2050,1.0784,1.0784,1.0784,1.0784,1.0784
2,2050,1.0784,1.0784,1.0784,1.0784,1.0784
3,2050,1.0784,1.0784,1.0784,1.0784,1.0784
4,2050,1.0784,1.0784,1.0784,1.0784,1.0784
5,2050,1.0784,1.0784,1.0784,1.0784,1.0784
6,2050,1.0784,1.0784,1.0784,1.0784,1.0784
7,2050,1.0784,1.0784,1.0784,1.0784,1.0784
8,2050,1.0784,1.0784,1.0784,1.0784,1.0784
9,2050,1.0784,1.0784,1.0784,1.0784,1.0784
10,2050,1.0784,1.0784,1.0784,1.0784,1.0784
11,2050,1.0784,1.0784,1.0784,1.0784,1.0784
12,2050,1.0784,1.0784,1.0784,1.0784,1.0784
13,2050,1.0784,1.0784,1.0784,1.0784,1.0784
14,2050,1.0784,1.0784,1.0784,1.0784,1.0784
15,2050,1.0784,1.0784,1.0784,1.0784,1.0784
16,2050,1.0784,1.0784,1.0784,1.0784,1.0784
17,2050,1.0784,1.0784,1.0784,1.0784,1.0784
18,2050,1.0784,1.0784,1.0784,1.0784,1.0784
19,2050,1.0784,1.0784,1.0784,1.0784,1.0784
20,2050,1.0784,1.0784,1.0784,1.0784,1.0784
