Geo,Year,CarSvcLevel
1,2005,Low
2,2005,Low
3,2005,Low
4,2005,Low
5,2005,Low
6,2005,Low
7,2005,Low
8,2005,Low
9,2005,Low
10,2005,Low
11,2005,Low
12,2005,Low
13,2005,Low
14,2005,Low
15,2005,Low
16,2005,Low
17,2005,Low
18,2005,High
19,2005,High
20,2005,Low
21,2005,Low
22,2005,Low
23,2005,Low
24,2005,Low
25,2005,Low
26,2005,Low
27,2005,Low
28,2005,Low
29,2005,Low
30,2005,Low
31,2005,Low
32,2005,Low
33,2005,Low
34,2005,High
35,2005,Low
36,2005,High
37,2005,Low
38,2005,High
39,2005,Low
40,2005,Low
41,2005,Low
42,2005,Low
43,2005,Low
44,2005,Low
45,2005,Low
46,2005,Low
47,2005,Low
48,2005,Low
49,2005,Low
50,2005,Low
51,2005,Low
52,2005,Low
53,2005,Low
54,2005,Low
55,2005,Low
56,2005,Low
57,2005,Low
58,2005,Low
59,2005,Low
60,2005,Low
61,2005,Low
62,2005,Low
63,2005,Low
64,2005,Low
65,2005,Low
66,2005,Low
67,2005,Low
68,2005,Low
69,2005,Low
70,2005,Low
71,2005,Low
72,2005,Low
73,2005,Low
74,2005,Low
75,2005,Low
76,2005,Low
77,2005,Low
78,2005,Low
79,2005,Low
80,2005,High
81,2005,High
82,2005,High
83,2005,High
84,2005,High
85,2005,High
86,2005,Low
87,2005,Low
88,2005,Low
89,2005,Low
90,2005,Low
91,2005,Low
92,2005,Low
93,2005,Low
94,2005,Low
95,2005,Low
96,2005,Low
97,2005,Low
98,2005,Low
99,2005,Low
100,2005,Low
101,2005,Low
102,2005,Low
103,2005,Low
104,2005,Low
105,2005,Low
106,2005,Low
107,2005,Low
108,2005,Low
109,2005,Low
110,2005,Low
111,2005,Low
112,2005,Low
113,2005,Low
114,2005,Low
115,2005,Low
116,2005,Low
117,2005,Low
118,2005,Low
119,2005,Low
120,2005,Low
121,2005,Low
122,2005,Low
123,2005,Low
124,2005,Low
125,2005,Low
126,2005,Low
127,2005,Low
128,2005,Low
129,2005,Low
130,2005,Low
131,2005,Low
132,2005,Low
133,2005,Low
134,2005,Low
135,2005,Low
136,2005,Low
137,2005,Low
138,2005,Low
139,2005,Low
140,2005,Low
141,2005,Low
142,2005,Low
143,2005,Low
144,2005,Low
145,2005,Low
146,2005,Low
147,2005,Low
148,2005,Low
149,2005,Low
150,2005,Low
151,2005,Low
152,2005,Low
153,2005,Low
154,2005,Low
155,2005,Low
156,2005,Low
157,2005,Low
158,2005,Low
159,2005,Low
160,2005,Low
161,2005,Low
162,2005,Low
163,2005,Low
164,2005,Low
165,2005,Low
166,2005,Low
167,2005,Low
168,2005,Low
169,2005,Low
170,2005,High
171,2005,Low
172,2005,Low
173,2005,Low
174,2005,Low
175,2005,Low
176,2005,Low
177,2005,Low
178,2005,Low
179,2005,Low
180,2005,Low
181,2005,Low
182,2005,Low
183,2005,Low
184,2005,Low
185,2005,Low
186,2005,Low
187,2005,Low
188,2005,Low
189,2005,Low
190,2005,Low
191,2005,Low
192,2005,Low
193,2005,Low
194,2005,Low
195,2005,Low
