Geo,Year,HhPropIncQ1,HhPropIncQ2,HhPropIncQ3,HhPropIncQ4
1,2005,0.16,0.24,0.3,0.3
2,2005,0.24,0.21,0.28,0.28
3,2005,0.17,0.2,0.38,0.25
4,2005,0.12,0.16,0.2,0.52
5,2005,0.15,0.2,0.4,0.25
6,2005,0.2,0.34,0.35,0.11
7,2005,0.3,0.42,0.21,0.07
8,2005,0.34,0.35,0.24,0.07
9,2005,0.48,0.25,0.22,0.05
10,2005,0.44,0.35,0.16,0.05
11,2005,0.33,0.26,0.22,0.19
12,2005,0.34,0.31,0.29,0.06
13,2005,0.25,0.26,0.29,0.2
14,2005,0.37,0.28,0.23,0.12
15,2005,0.3,0.24,0.26,0.2
16,2005,0.44,0.23,0.23,0.1
17,2005,0.32,0.21,0.25,0.22
18,2005,0.34,0.35,0.2,0.11
19,2005,0.31,0.17,0.18,0.34
20,2005,0.34,0.27,0.23,0.16
21,2005,0.14,0.16,0.19,0.51
22,2005,0.18,0.32,0.25,0.25
23,2005,0.08,0.32,0.25,0.35
24,2005,0.24,0.24,0.27,0.25
25,2005,0.17,0.21,0.33,0.29
26,2005,0.22,0.27,0.2,0.31
27,2005,0.34,0.34,0.28,0.04
28,2005,0.25,0.38,0.3,0.07
29,2005,0.35,0.35,0.22,0.08
30,2005,0.36,0.25,0.2,0.19
31,2005,0.25,0.19,0.28,0.28
32,2005,0.09,0.14,0.22,0.55
33,2005,0.36,0.27,0.21,0.16
34,2005,0.33,0.18,0.24,0.25
35,2005,0.26,0.18,0.2,0.36
36,2005,0.44,0.2,0.22,0.14
37,2005,0.06,0.14,0.27,0.53
38,2005,0.26,0.19,0.22,0.33
39,2005,0.05,0.12,0.21,0.62
40,2005,0.09,0.17,0.38,0.36
41,2005,0.16,0.16,0.23,0.45
42,2005,0.09,0.15,0.24,0.52
43,2005,0.2,0.21,0.3,0.3
44,2005,0.14,0.25,0.24,0.37
45,2005,0.11,0.35,0.31,0.23
46,2005,0.22,0.36,0.27,0.15
47,2005,0.27,0.27,0.26,0.2
48,2005,0.47,0.24,0.13,0.16
49,2005,0.16,0.18,0.25,0.41
50,2005,0.13,0.18,0.3,0.39
51,2005,0.17,0.22,0.28,0.33
52,2005,0.47,0.29,0.18,0.06
53,2005,0.33,0.28,0.21,0.18
54,2005,0.58,0.24,0.12,0.06
55,2005,0.36,0.33,0.18,0.13
56,2005,0.29,0.26,0.26,0.19
57,2005,0.13,0.22,0.28,0.37
58,2005,0.31,0.31,0.25,0.13
59,2005,0.25,0.31,0.24,0.2
60,2005,0.26,0.21,0.23,0.3
61,2005,0.36,0.29,0.21,0.14
62,2005,0.22,0.28,0.24,0.26
63,2005,0.34,0.29,0.2,0.17
64,2005,0.41,0.28,0.21,0.1
65,2005,0.21,0.22,0.27,0.3
66,2005,0.29,0.38,0.23,0.1
67,2005,0.12,0.36,0.28,0.24
68,2005,0.56,0.18,0.16,0.1
69,2005,0.23,0.22,0.35,0.2
70,2005,0.48,0.25,0.17,0.1
71,2005,0.33,0.35,0.21,0.11
72,2005,0.34,0.16,0.31,0.19
73,2005,0.24,0.1,0.3,0.36
74,2005,0.2,0.11,0.12,0.57
75,2005,0.03,0.05,0.23,0.69
76,2005,0.15,0.09,0.1,0.66
77,2005,0.33,0.09,0.16,0.42
78,2005,0.51,0,0.24,0.25
79,2005,0.39,0.11,0.26,0.24
80,2005,0.02,0.11,0.48,0.39
81,2005,0.2,0.2,0.12,0.48
82,2005,0.18,0.33,0.34,0.15
83,2005,0.2,0.1,0.26,0.44
84,2005,0.27,0.17,0.27,0.29
85,2005,0.23,0.22,0.22,0.33
86,2005,0.05,0.11,0.24,0.6
87,2005,0.13,0.17,0.28,0.42
88,2005,0.14,0.1,0.17,0.59
89,2005,0.19,0.11,0.22,0.48
90,2005,0.2,0.22,0.15,0.43
91,2005,0.14,0.21,0.29,0.36
92,2005,0.08,0.19,0.16,0.57
93,2005,0.08,0.09,0.32,0.51
94,2005,0.11,0.21,0.35,0.33
95,2005,0.19,0.22,0.25,0.34
96,2005,0.15,0.17,0.27,0.41
97,2005,0.28,0.23,0.23,0.26
98,2005,0.1,0.19,0.23,0.48
99,2005,0.25,0.2,0.27,0.28
100,2005,0.15,0.19,0.31,0.35
101,2005,0.21,0.27,0.19,0.33
102,2005,0.15,0.11,0.11,0.63
103,2005,0.17,0.08,0.16,0.59
104,2005,0.08,0.1,0.18,0.64
105,2005,0.05,0.08,0.17,0.7
106,2005,0.09,0.21,0.33,0.37
107,2005,0.3,0.32,0.21,0.17
108,2005,0.29,0.18,0.34,0.19
109,2005,0.69,0.07,0.24,0
110,2005,0.49,0.24,0.15,0.12
111,2005,0.38,0.22,0.26,0.14
112,2005,0.57,0.23,0.12,0.08
113,2005,0.41,0.36,0.19,0.04
114,2005,0.33,0.25,0.23,0.19
115,2005,0.41,0.29,0.21,0.09
116,2005,0.26,0.43,0.18,0.13
117,2005,0.31,0.24,0.31,0.15
118,2005,0.35,0.29,0.24,0.12
119,2005,0.42,0.27,0.18,0.13
120,2005,0.36,0.37,0.19,0.08
121,2005,0.65,0.21,0.11,0.03
122,2005,0.43,0.35,0.18,0.04
123,2005,0.59,0.2,0.17,0.04
124,2005,0.36,0.39,0.19,0.06
125,2005,0.38,0.38,0.22,0.02
126,2005,0.4,0.3,0.24,0.06
127,2005,0.36,0.38,0.17,0.09
128,2005,0.24,0.24,0.31,0.21
129,2005,0.29,0.31,0.33,0.07
130,2005,0.51,0.37,0.1,0.02
131,2005,0.44,0.25,0.16,0.15
132,2005,0.36,0.33,0.18,0.13
133,2005,0.41,0.36,0.11,0.12
134,2005,0.43,0.28,0.23,0.06
135,2005,0.46,0.34,0.16,0.04
136,2005,0.38,0.25,0.26,0.11
137,2005,0.26,0.29,0.28,0.17
138,2005,0.37,0.23,0.23,0.17
139,2005,0.37,0.21,0.2,0.22
140,2005,0.32,0.42,0.2,0.06
141,2005,0.49,0.28,0.16,0.07
142,2005,0.45,0.22,0.24,0.09
143,2005,0.52,0.34,0.09,0.05
144,2005,0.51,0.24,0.14,0.11
145,2005,0.37,0.35,0.2,0.08
146,2005,0.65,0.2,0.13,0.02
147,2005,0.5,0.21,0.22,0.07
148,2005,0.45,0.31,0.15,0.09
149,2005,0.09,0.29,0.29,0.33
150,2005,0.18,0.39,0.25,0.18
151,2005,0.16,0.35,0.3,0.19
152,2005,0.21,0.2,0.32,0.27
153,2005,0.28,0.28,0.24,0.2
154,2005,0.52,0.26,0.15,0.07
155,2005,0.22,0.27,0.33,0.18
156,2005,0.32,0.39,0.23,0.06
157,2005,0.2,0.39,0.28,0.13
158,2005,0.27,0.26,0.26,0.21
159,2005,0.48,0.35,0.12,0.05
160,2005,0.25,0.25,0.29,0.21
161,2005,0.23,0.31,0.29,0.17
162,2005,0.12,0.24,0.33,0.31
163,2005,0.3,0.3,0.16,0.23
164,2005,0.14,0.31,0.33,0.22
165,2005,0.42,0.29,0.17,0.12
166,2005,0.25,0.2,0.34,0.21
167,2005,0.5,0.17,0.23,0.1
168,2005,0.35,0.42,0.15,0.08
169,2005,0.16,0.33,0.28,0.23
170,2005,0.51,0.07,0.07,0.35
171,2005,0.25,0.25,0.25,0.25
172,2005,0.12,0.09,0.25,0.54
173,2005,0.18,0.2,0.19,0.43
174,2005,0.11,0.25,0.25,0.39
175,2005,0.18,0.18,0.21,0.43
176,2005,0.11,0.18,0.21,0.5
177,2005,0.17,0.25,0.22,0.36
178,2005,0.09,0.08,0.18,0.65
179,2005,0.04,0.13,0.31,0.52
180,2005,0.14,0.14,0.21,0.51
181,2005,0.12,0.1,0.18,0.6
182,2005,0.1,0.12,0.26,0.52
183,2005,0.16,0.26,0.16,0.42
184,2005,0.11,0.2,0.23,0.46
185,2005,0.13,0.17,0.26,0.44
186,2005,0.35,0.26,0.23,0.16
187,2005,0.34,0.31,0.26,0.09
188,2005,0.32,0.26,0.32,0.09
189,2005,0.31,0.31,0.27,0.11
190,2005,0.5,0.21,0.13,0.16
191,2005,0.18,0.32,0.28,0.22
192,2005,0.19,0.25,0.34,0.22
193,2005,0.15,0.22,0.34,0.29
194,2005,0.33,0.37,0.2,0.1
195,2005,0.31,0.31,0.27,0.11
196,2005,0.26,0.34,0.25,0.15
197,2005,0.15,0.25,0.33,0.27
198,2005,0.43,0.23,0.23,0.11
199,2005,0.37,0.35,0.19,0.09
200,2005,0.24,0.24,0.33,0.19
201,2005,0.26,0.23,0.35,0.16
202,2005,0.12,0.38,0.28,0.22
203,2005,0.1,0.26,0.32,0.32
204,2005,0.4,0.18,0.28,0.14
205,2005,0.73,0.13,0.07,0.07
206,2005,0.64,0.22,0.1,0.04
207,2005,0.07,0.18,0.39,0.36
208,2005,0.15,0.32,0.21,0.32
209,2005,0.07,0.18,0.27,0.48
210,2005,0.11,0.19,0.28,0.42
211,2005,0.23,0.18,0.34,0.25
212,2005,0.2,0.26,0.3,0.24
213,2005,0.27,0.39,0.24,0.1
214,2005,0.33,0.29,0.26,0.12
215,2005,0.11,0.27,0.37,0.25
216,2005,0.31,0.24,0.27,0.18
217,2005,0.21,0.42,0.2,0.17
218,2005,0.18,0.25,0.3,0.27
219,2005,0.11,0.11,0.25,0.53
220,2005,0.17,0.22,0.18,0.43
221,2005,0.2,0.16,0.29,0.35
222,2005,0.2,0.38,0.22,0.2
223,2005,0.17,0.2,0.25,0.38
224,2005,0.27,0.23,0.19,0.31
225,2005,0.28,0.3,0.3,0.12
226,2005,0.12,0.22,0.37,0.29
227,2005,0.26,0.31,0.31,0.12
228,2005,0.36,0.29,0.22,0.13
229,2005,0.16,0.2,0.38,0.26
230,2005,0.25,0.29,0.21,0.25
231,2005,0.12,0.24,0.31,0.33
232,2005,0.11,0.26,0.32,0.31
233,2005,0.09,0.21,0.35,0.35
234,2005,0.13,0.22,0.37,0.28
235,2005,0.29,0.27,0.24,0.2
236,2005,0.22,0.37,0.31,0.1
237,2005,0.29,0.29,0.24,0.17
238,2005,0.21,0.25,0.32,0.22
239,2005,0.14,0.25,0.3,0.3
240,2005,0.22,0.23,0.27,0.27
241,2005,0.24,0.3,0.26,0.2
242,2005,0.25,0.3,0.35,0.1
243,2005,0.43,0.29,0.21,0.07
244,2005,0.22,0.37,0.28,0.13
245,2005,0.27,0.29,0.22,0.22
246,2005,0.29,0.36,0.23,0.12
247,2005,0.19,0.24,0.38,0.19
248,2005,0.2,0.31,0.27,0.22
249,2005,0.24,0.28,0.15,0.33
250,2005,0.27,0.24,0.24,0.25
251,2005,0.04,0.84,0.12,0
252,2005,0.16,0.22,0.28,0.34
253,2005,0.05,0.14,0.27,0.54
254,2005,0.16,0.21,0.24,0.39
255,2005,0.11,0.19,0.23,0.47
256,2005,0.3,0.27,0.16,0.27
257,2005,0.29,0.15,0.16,0.4
258,2005,0.32,0.22,0.18,0.28
259,2005,0.23,0.19,0.25,0.33
260,2005,0.1,0.17,0.39,0.34
261,2005,0.6,0.19,0.13,0.08
262,2005,0.26,0.23,0.28,0.23
263,2005,0.26,0.29,0.24,0.21
264,2005,0.16,0.22,0.3,0.32
265,2005,0.27,0.13,0.31,0.29
266,2005,0.37,0.37,0.17,0.09
267,2005,0.17,0.26,0.26,0.31
268,2005,0.24,0.2,0.3,0.26
269,2005,0.42,0.26,0.14,0.18
270,2005,0.47,0.21,0.23,0.09
271,2005,0.31,0.36,0.21,0.12
272,2005,0.49,0.3,0.16,0.05
273,2005,0.45,0.26,0.17,0.12
274,2005,0.52,0.17,0.22,0.09
275,2005,0.25,0.3,0.3,0.16
276,2005,0.26,0.25,0.28,0.21
277,2005,0.22,0.16,0.24,0.38
278,2005,0.22,0.22,0.29,0.27
279,2005,0.15,0.12,0.27,0.46
280,2005,0.08,0.08,0.19,0.65
281,2005,0.22,0.19,0.23,0.36
282,2005,0.11,0.14,0.31,0.44
283,2005,0.12,0.18,0.27,0.43
284,2005,0.05,0.11,0.27,0.57
285,2005,0.13,0.11,0.22,0.54
286,2005,0.26,0.4,0.22,0.12
287,2005,0.37,0.25,0.2,0.18
288,2005,0.26,0.29,0.27,0.18
289,2005,0.2,0.16,0.28,0.36
290,2005,0.29,0.29,0.23,0.18
291,2005,0.43,0.22,0.22,0.13
292,2005,0.23,0.34,0.3,0.13
293,2005,0.22,0.37,0.24,0.17
294,2005,0.25,0.29,0.23,0.23
295,2005,0.24,0.23,0.3,0.23
296,2005,0.33,0.3,0.22,0.15
297,2005,0.16,0.31,0.36,0.17
298,2005,0.41,0.32,0.17,0.1
299,2005,0.46,0.31,0.18,0.05
300,2005,0.28,0.19,0.16,0.37
301,2005,0.1,0.17,0.36,0.37
