Geo,Year,FwyLaneMi,ArtLaneMi
Metro,2005,716.947144,4834.39131
Metro,2010,731.947144,5009.656641
Metro,2020,760.694,5268.42
Metro,2025,777.5175,5349.825
Metro,2030,794.341,5431.23
Metro,2035,811.1645,5512.635
Metro,2040,827.988,5594.04
Metro,2045,844.8115,5675.445
Metro,2050,861.635,5756.85
None,2005,107.5420716,725.1586965
None,2010,109.7920716,751.4484962
None,2020,114.1041,790.263
None,2025,116.627625,802.47375
None,2030,119.15115,814.6845
None,2035,121.674675,826.89525
None,2040,124.1982,839.106
None,2045,126.721725,851.31675
None,2050,129.24525,863.5275
