Geo,Year,DRRevMi,VPRevMi,MBRevMi,RBRevMi,MGRevMi,SRRevMi,HRRevMi,CRRevMi
Metro,2005,7116959,296540,26239013,0,0,349051,3706712,0
Metro,2010,7350476,306270,23783866,0,0,370541,3602591,179654
Metro,2020,7184628,299359,29723800,0,0,920480,5614220,179654
Metro,2025,7184628,299359,32904750,899000,0,1033100,5813025,179654
Metro,2030,7184628,299359,36085700,1399200,0,1145720,6011830,179654
Metro,2035,7184628,299359,39266650,1899400,0,1258340,6210635,179654
Metro,2040,7184628,299359,42447600,2399600,0,1370960,6409440,179654
Metro,2045,7184628,299359,45628550,2899800,0,1483580,6608245,179654
Metro,2050,7184628,299359,48809500,3400000,0,1596200,6807050,544359
None,2005,0,0,0,0,0,0,0,0
None,2010,0,0,0,0,0,0,0,0
None,2020,0,0,0,0,0,0,0,0
None,2025,0,0,0,0,0,0,0,0
None,2030,0,0,0,0,0,0,0,0
None,2035,0,0,0,0,0,0,0,0
None,2040,0,0,0,0,0,0,0,0
None,2045,0,0,0,0,0,0,0,0
None,2050,0,0,0,0,0,0,0,0
