SERIALNO,PUMA5,HWEIGHT,UNITTYPE,PERSONS,BLDGSZ,HINC
45,1300,29,0,2,2,43750
103,400,6,0,1,3,49200
142,200,7,0,0,2,0
157,200,27,0,2,2,61070
159,2005,17,0,2,2,120000
168,1002,24,0,3,5,47000
455,400,8,0,2,2,17100
457,500,26,0,4,2,70000
467,1801,15,0,2,2,81400
682,200,0,1,1,  ,0
688,1402,18,0,2,1,105000
697,1002,29,0,1,9,27000
705,1600,20,0,3,2,62400
715,1202,26,0,2,1,41100
833,300,20,0,2,6,12600
962,1001,35,0,2,5,3500
1051,1801,23,0,1,8,33700
1177,300,26,0,2,2,140000
1270,800,18,0,2,5,35000
1347,2101,29,0,2,1,20300
1403,1202,26,0,2,2,83830
1419,1500,5,0,2,2,78060
1513,700,3,0,2,3,30520
1514,400,18,0,3,1,7300
1535,2007,20,0,5,2,52000
1537,2003,35,0,4,2,118000
1668,1001,21,0,5,3,53500
1791,1701,6,0,2,2,49204
1942,1702,18,0,2,2,64000
1957,1100,24,0,2,5,30000
1990,2003,23,0,4,2,125300
2028,400,6,0,2,2,17600
2189,300,12,0,2,2,20600
2197,1805,0,1,1,  ,0
2293,1402,12,0,4,2,76100
2402,400,9,0,1,2,25400
2463,400,18,0,4,1,67900
2697,1403,21,0,5,2,49000
2732,2002,24,0,6,2,73400
2873,2002,23,0,1,5,40900
2951,1402,26,0,2,2,101200
3058,1701,23,0,3,2,32000
3229,1801,26,0,3,1,19500
3457,1001,0,2,1,  ,0
3539,2005,20,0,1,2,14900
3696,601,20,0,1,2,137000
3769,1500,6,0,4,2,127800
3786,1300,27,0,1,2,20000
3851,1802,23,0,1,2,30500
3913,1802,15,0,4,2,30100
3995,500,0,2,1,  ,0
4011,2001,20,0,2,1,41100
4077,700,6,0,5,2,62700
4100,2101,26,0,1,2,27000
4230,1803,23,0,2,9,188400
4329,1401,6,0,4,7,10000
4366,1600,12,0,5,2,55100
4518,2007,15,0,5,2,45000
4659,1802,29,0,3,2,41000
4728,1002,20,0,2,2,30100
4782,1402,18,0,1,2,0
4836,1702,15,0,2,2,38750
4837,1500,13,0,0,2,0
4867,200,14,0,1,2,41200
4976,2001,24,0,2,2,130000
5061,1001,0,2,1,  ,0
5295,2004,27,0,2,2,336000
5484,1404,14,0,2,7,39000
5556,300,0,2,1,  ,0
5695,1500,17,0,5,2,58000
5749,700,20,0,1,2,14000
5831,400,6,0,3,1,12800
5847,1600,26,0,2,2,240000
5913,800,23,0,6,2,35348
6024,1804,23,0,3,2,36300
6095,1100,20,0,4,2,82000
6103,700,0,2,1,  ,0
6156,2001,18,0,4,2,100000
6157,300,10,0,0,2,0
6189,1702,0,1,1,  ,0
6335,500,23,0,2,2,15100
6342,602,20,0,4,2,87000
6456,1701,26,0,1,1,37000
6527,1805,17,0,2,2,28660
6535,2005,20,0,5,1,39400
6555,2007,47,0,2,8,35500
6579,500,23,0,3,8,22300
6641,1500,27,0,0,10,0
6757,300,20,0,3,4,9000
6881,2008,20,0,5,2,36000
6996,2002,29,0,1,8,31200
7045,1100,6,0,2,2,58600
7123,2008,12,0,3,7,32400
7140,100,26,0,1,1,44070
7189,2101,29,0,2,2,37000
7273,1002,23,0,1,2,30000
7337,100,21,0,4,3,52500
7354,1003,17,0,4,9,55830
7362,601,20,0,3,4,9600
7405,700,20,0,2,2,50000
7646,1600,11,0,3,2,63840
7712,1005,31,0,1,2,42300
7778,1402,34,0,3,2,41000
7818,2001,20,0,4,2,160160
7826,1005,6,0,4,2,79100
7849,1004,6,0,0,2,0
7866,700,18,0,1,2,14500
7901,1002,29,0,1,1,152800
7978,1801,26,0,1,7,14000
8026,800,23,0,2,4,50530
8103,200,40,0,0,2,0
8367,1702,17,0,2,2,125200
8410,1701,0,1,1,  ,0
8424,1002,32,0,4,5,28500
8428,700,23,0,3,4,15300
8432,1201,11,0,3,2,53800
8438,1201,14,0,2,4,11900
8499,1701,5,0,5,2,27500
8633,200,20,0,3,2,21500
8745,1001,17,0,2,2,75600
8835,200,17,0,2,2,131000
9189,1005,8,0,2,1,63200
9204,1500,6,0,2,1,14300
9309,500,0,2,1,  ,0
9375,1002,15,0,5,2,70500
9391,1202,24,0,3,2,52000
9441,1802,29,0,1,2,59000
9443,1701,26,0,3,2,55000
9495,1804,55,0,6,2,36000
9508,1900,17,0,2,2,135000
9542,1202,36,0,0,2,0
9553,1002,26,0,2,10,55500
9685,2101,20,0,4,2,110000
9687,200,20,0,2,1,21300
9796,1201,23,0,2,2,75790
9882,1803,26,0,2,2,9600
9890,1802,20,0,1,8,12000
10092,1004,23,0,2,1,66000
10141,400,6,0,2,2,45350
10154,300,23,0,0,7,0
10193,1702,0,1,1,  ,0
10318,601,20,0,3,2,12000
10335,2200,23,0,1,9,27000
10595,1300,9,0,4,2,83300
10647,500,20,0,4,2,298000
10707,1801,13,0,0,6,0
10867,400,6,0,4,6,39300
11018,1401,20,0,4,2,143300
11020,400,20,0,1,1,36500
11116,1300,18,0,2,2,50200
11126,500,0,2,1,  ,0
11211,400,6,0,0,2,0
11343,400,23,0,5,2,50200
11364,300,8,0,5,1,42700
11368,1300,37,0,0,8,0
11397,500,23,0,1,8,45500
11466,500,17,0,2,2,48000
11480,1401,20,0,5,1,25700
11500,1801,14,0,0,6,0
11659,1404,26,0,4,1,111200
11689,100,29,0,2,1,23300
11843,1801,20,0,2,2,160900
11917,400,20,0,1,2,9600
11938,800,17,0,5,2,78400
11970,1500,20,0,2,2,22120
12021,1402,23,0,3,2,93100
12078,700,23,0,5,2,74730
12084,2200,17,0,5,9,14400
12168,700,32,0,1,2,2800
12171,1802,23,0,1,3,42300
12314,2002,29,0,2,2,47000
12315,2006,17,0,4,2,93100
12378,1600,18,0,1,2,11700
12432,1401,26,0,1,2,60400
12558,100,18,0,4,5,36300
12632,1804,26,0,3,2,184000
12815,1500,12,0,5,2,55000
12819,2200,26,0,1,7,21000
12893,2005,32,0,1,8,10200
13049,100,23,0,2,2,12200
13121,100,17,0,1,7,33000
13248,1802,18,0,4,2,120000
13262,1802,20,0,2,9,25000
13266,1702,26,0,4,2,222150
13443,1003,29,0,2,2,36230
13502,800,11,0,2,2,74700
13600,1404,20,0,0,1,0
14042,2003,29,0,2,2,149000
14087,1402,17,0,1,2,34000
14144,1500,6,0,2,2,13300
14277,300,10,0,0,2,0
14308,602,26,0,1,2,77000
14435,1100,32,0,2,2,75360
14475,500,20,0,1,2,5200
14567,1003,35,0,2,2,79750
14814,2003,26,0,0,2,0
15067,500,34,0,2,2,36900
15099,500,0,2,1,  ,0
15217,1403,23,0,1,4,11100
15282,1701,0,1,1,  ,0
15318,200,14,0,7,2,43000
15383,300,6,0,3,2,31500
15458,1404,17,0,4,2,41500
15493,1401,6,0,1,2,31200
15510,1404,32,0,5,1,44500
15665,1803,23,0,1,5,42700
15738,400,9,0,2,2,5600
15854,1300,24,0,1,2,25700
16096,700,17,0,0,8,0
16118,1100,12,0,2,7,9000
16142,1002,26,0,2,2,88000
16232,1801,23,0,1,8,32320
16323,1701,23,0,2,2,105000
16371,500,14,0,4,2,93850
16412,1401,23,0,5,2,116900
16431,200,20,0,2,2,71100
16463,1404,0,1,1,  ,0
16483,1701,0,1,1,  ,0
16494,1702,17,0,2,2,33700
16565,1401,23,0,1,9,8000
16651,1900,20,0,2,2,137680
16657,700,18,0,1,2,25700
16683,800,23,0,1,1,21600
16719,1403,32,0,4,2,87900
16745,1300,23,0,1,2,54000
16786,1300,24,0,3,2,29000
16807,2003,29,0,4,2,89600
16886,1702,23,0,5,2,25500
16961,200,15,0,3,6,36000
17268,1500,11,0,3,2,75000
17270,2006,26,0,2,7,185000
17330,1404,23,0,2,2,140000
17342,1401,26,0,1,4,31000
17434,2001,26,0,1,8,40100
17629,2009,6,0,4,2,110830
17633,2002,32,0,5,2,75700
17667,1403,23,0,1,2,38800
17840,1300,26,0,3,4,12000
17849,300,17,0,4,2,34590
18002,1701,0,2,1,  ,0
18092,2200,26,0,1,2,5000
18149,200,29,0,2,2,84000
18265,1803,26,0,1,6,48000
18389,1401,20,0,1,5,25000
18393,1100,6,0,2,2,28830
18434,1900,20,0,1,2,101100
18466,700,0,2,1,  ,0
18546,2101,20,0,2,3,71000
18728,2006,15,0,1,5,16004
18840,1803,26,0,1,9,17300
18848,1802,26,0,1,8,32450
18892,1500,13,0,0,1,0
19037,1100,6,0,1,2,24500
19063,1500,3,0,2,2,59000
19116,601,20,0,3,2,144200
19118,601,15,0,4,1,30600
19121,1005,6,0,2,2,103300
19167,500,17,0,2,2,120800
19212,1702,26,0,4,2,126370
19233,1805,32,0,2,2,113300
19249,2007,18,0,5,2,180500
19260,601,26,0,7,2,30910
19331,602,26,0,1,7,16800
19367,100,29,0,3,2,38000
19396,1300,6,0,3,3,32200
19439,2007,20,0,0,2,0
19620,1300,8,0,6,2,11700
19664,1402,26,0,2,8,5000
19674,2006,20,0,3,2,115970
20084,2001,23,0,1,9,85200
20137,1202,26,0,2,2,66100
20147,1600,3,0,4,1,94000
20244,902,23,0,3,2,40500
20297,2004,21,0,2,2,111000
20325,1401,23,0,1,8,9500
20462,1100,6,0,5,2,65000
20464,1600,20,0,3,1,22000
20561,1401,6,0,4,5,36460
20683,2002,18,0,2,6,60000
20690,1500,6,0,1,1,25500
20712,400,3,0,0,2,0
20799,2003,29,0,1,9,25000
20835,1004,23,0,4,2,42000
20893,1802,0,2,1,  ,0
20992,1404,0,2,1,  ,0
21072,200,26,0,1,2,24000
21136,1004,20,0,4,1,22000
21200,1001,17,0,2,2,73350
21270,1005,12,0,5,2,116600
21393,2001,20,0,2,2,57000
21402,1100,26,0,3,3,57050
21428,400,10,0,0,1,0
21566,601,29,0,4,2,89000
21663,1100,5,0,2,2,45800
21803,300,15,0,2,1,79500
21874,700,26,0,2,4,49070
22204,400,9,0,2,2,69600
22344,400,9,0,2,2,40120
22560,2005,23,0,2,2,13500
22697,1805,24,0,1,7,33200
22723,1005,35,0,1,1,38000
22745,1201,9,0,4,2,35000
22755,1804,15,0,2,2,130200
22912,300,14,0,2,2,34700
22961,700,0,2,1,  ,0
23121,2200,26,0,3,2,73200
23136,1404,23,0,2,2,53300
23180,1803,20,0,1,2,10000
23372,1201,18,0,1,6,23500
23463,1300,24,0,2,2,19000
23490,700,0,1,1,  ,0
23570,2002,6,0,4,2,473000
23670,1300,12,0,4,5,14260
23709,1805,20,0,3,6,13920
23778,2002,29,0,2,2,228170
23849,1003,24,0,2,5,47400
23869,1404,0,1,1,  ,0
23935,500,35,0,1,2,30000
23980,300,23,0,3,1,33000
24095,2101,23,0,2,2,160000
24125,1100,20,0,1,1,30000
24214,2200,21,0,2,4,20800
24217,2003,26,0,1,2,36000
24265,1004,0,1,1,  ,0
24327,500,24,0,2,2,66020
24347,1402,32,0,2,2,68200
24464,1002,26,0,3,2,131750
24466,800,23,0,2,6,15070
24498,2002,20,0,4,2,66920
24552,1404,0,2,1,  ,0
24623,700,9,0,2,2,43000
24732,300,29,0,8,2,20900
24744,2004,27,0,0,6,0
24896,1404,35,0,6,2,113500
24921,1005,20,0,4,2,50000
25020,1600,8,0,2,2,35430
25102,1403,33,0,0,7,0
25181,800,26,0,3,2,47200
25306,2101,26,0,2,9,32300
25357,300,20,0,1,2,6800
25384,1100,6,0,2,1,97300
25414,601,17,0,6,2,54400
25473,1802,26,0,2,6,14400
25535,602,17,0,1,2,0
25537,602,17,0,2,2,29700
25569,1701,29,0,1,2,35600
25577,1500,6,0,3,2,17200
25596,1300,14,0,2,2,60000
25683,400,0,2,1,  ,0
25784,200,17,0,1,2,32000
25873,602,32,0,4,2,59050
25891,1005,32,0,1,9,8400
25929,700,12,0,1,6,20300
26059,2004,17,0,0,6,0
26152,902,26,0,4,2,57080
26191,800,32,0,3,2,78600
26197,800,29,0,1,9,16900
26233,1100,27,0,0,2,0
26270,901,26,0,2,2,31610
26290,1500,17,0,3,2,440
26321,500,20,0,4,2,131680
26365,1404,26,0,3,2,70550
26379,1802,20,0,6,2,86600
26388,2003,23,0,3,2,49100
26412,400,6,0,2,2,50000
26440,2200,21,0,4,2,88000
26550,1500,23,0,1,8,11200
26560,2200,24,0,1,2,50600
26654,2002,20,0,2,2,120000
26760,1500,29,0,2,1,31200
26822,200,14,0,6,2,66200
26894,1100,8,0,1,2,25300
26997,1801,26,0,2,2,33900
27202,200,0,2,1,  ,0
27245,1100,7,0,0,2,0
27285,1801,11,0,2,7,49000
27373,1801,20,0,3,4,47800
27434,1900,17,0,2,8,54500
27533,2005,40,0,4,6,19614
27580,300,27,0,0,7,0
27613,1202,18,0,3,2,101100
27644,1005,9,0,2,2,44800
27758,100,29,0,4,2,90540
27759,1401,20,0,4,7,63000
27879,602,6,0,4,2,64000
27951,800,20,0,1,1,21300
27983,1805,9,0,5,7,38400
27987,300,12,0,3,1,19560
28057,601,20,0,2,5,9800
28159,1802,23,0,2,2,60000
28312,2005,20,0,5,2,84000
28316,1300,34,0,1,9,14100
28455,200,20,0,1,1,19400
28528,1900,10,0,0,2,0
28548,1403,0,1,1,  ,0
28570,2200,0,1,1,  ,0
28607,1702,20,0,1,4,20600
28640,2009,26,0,2,2,56000
28649,1002,26,0,4,2,199220
28664,2005,20,0,3,2,23100
28679,1404,29,0,5,2,45000
28697,1300,29,0,4,2,22000
28715,2009,15,0,5,2,204700
28731,1900,23,0,2,4,9200
28842,1500,12,0,5,2,115408
28861,400,15,0,1,2,18900
28876,2008,26,0,3,5,55000
28905,200,9,0,2,2,3500
28928,2001,29,0,4,2,99000
28945,1100,17,0,1,4,27000
28970,200,23,0,1,2,68000
29096,200,23,0,2,2,256400
29180,1404,21,0,6,2,80000
29210,1001,21,0,2,5,9900
29240,2003,0,1,1,  ,0
29311,1005,9,0,4,2,76200
29334,300,26,0,6,2,26000
29345,2001,26,0,1,1,31000
29363,1005,21,0,6,2,85540
29565,1402,49,0,0,8,0
29575,1300,0,2,1,  ,0
29634,602,26,0,3,2,85100
29655,1805,18,0,1,8,100000
29844,300,23,0,1,2,18490
29984,2007,31,0,4,6,23200
29999,500,20,0,1,7,7600
30021,700,14,0,4,1,186390
30065,1801,21,0,1,2,31000
