category_name,category_label,category_description,category_instructions,level_name,level_label,level_description,execute
B,Bicycles,"Network improvements, incentives, and technologies that encourage bicycling and other light-weight vehicle travel.","The diversion of single-occupant vehicle travel to bicycles, electric bicycles and other light-weight vehicles.",1,Base,Current bicyling percentage of SOV tours less than 20 miles (9.75%),TRUE
B,Bicycles,"Network improvements, incentives, and technologies that encourage bicycling and other light-weight vehicle travel.","The diversion of single-occupant vehicle travel to bicycles, electric bicycles and other light-weight vehicles.",2,Double,Increase diversion of SOV tours to 20%,TRUE
D,Demand Management,Programs to encourage less private vehicle travel.,"Programs and incentives which encourage people to drive less including ridesharing, van pooling, telecommuting, and transit subsidies.",1,Base,Existing level,TRUE
D,Demand Management,Programs to encourage less private vehicle travel.,"Programs and incentives which encourage people to drive less including ridesharing, van pooling, telecommuting, and transit subsidies.",2,Double participation,"Double participations rates in ridesharing, etc.",TRUE
D,Demand Management,Programs to encourage less private vehicle travel.,"Programs and incentives which encourage people to drive less including ridesharing, van pooling, telecommuting, and transit subsidies.",3,Double participation & transit subsidy,"Double participations rates in ridesharing, etc. and double transit subsidy.",TRUE
L,Land Use,Distribution of population and employment by place type.,"The form in which development occurs (density, regional assessibility, mixed use, etc.) represented by the distribution of population and employment by place type.",1,Base,Maintain current distribution.,TRUE
L,Land Use,Distribution of population and employment by place type.,"The form in which development occurs (density, regional assessibility, mixed use, etc.) represented by the distribution of population and employment by place type.",2,Shift to urban core,Shift half of the suburban population and employment growth to urban core and close in communities.,TRUE
P,Parking,Extent of and charges for priced parking.,The extent of paid parking and its price.,1,Base,Current extent and daily fee.,TRUE
P,Parking,Extent of and charges for priced parking.,The extent of paid parking and its price.,2,Increase fees to 20%,Increase extent to cover 20% of workers and 20% of other parking.,TRUE
P,Parking,Extent of and charges for priced parking.,The extent of paid parking and its price.,3,Increase fees to 20% and double parking cost,Increase extent to cover 20% of workers and 20% of other parking plus double parking price.,TRUE
T,Transit,Level of public transit service.,The extent and frequency of transit service.,1,Base,Current public transit service level.,TRUE
T,Transit,Level of public transit service.,The extent and frequency of transit service.,2,Double,Double public transit service level.,TRUE
T,Transit,Level of public transit service.,The extent and frequency of transit service.,3,Triple,Triple public transit service level.,TRUE
C,Vehicle Travel Cost,Combination of fuel prices and charges to pay for roadway costs and possibly externalities.,The combination of fuel prices and vehicle travel charges to pay for roadways and to pay for externalities such as carbon pricing.,1,Base,No change in fuel prices or increase in roadway or externality charges.,TRUE
C,Vehicle Travel Cost,Combination of fuel prices and charges to pay for roadway costs and possibly externalities.,The combination of fuel prices and vehicle travel charges to pay for roadways and to pay for externalities such as carbon pricing.,2,5 cents/mile,Extra charge of 5 cents per mile. Equivalent to increase of fuel price of $1.00 per gallon for vehicles getting 20 MPG.,TRUE
C,Vehicle Travel Cost,Combination of fuel prices and charges to pay for roadway costs and possibly externalities.,The combination of fuel prices and vehicle travel charges to pay for roadways and to pay for externalities such as carbon pricing.,3,9 cents/mile,Extra charge of 9 cents per mile. Equivalent to increase of fuel price of $2.25 per gallon for vehicles getting 50 MPG.,TRUE
